Time,L03_708_11,L03_708_11,J03_9216_2,J03_9216_2,L05_049_1,L02_166_2
and,262,262,262,262,262,262
Date,Mean,Mean,Mean,Inst,Inst,Inst
10/1/2023 0:00,0.004,0.004,,,,
10/2/2023 0:00,0.003,0.003,,,,
10/3/2023 0:00,0.002,0.002,,,,
10/4/2023 0:00,0.004,0.004,,,,
10/5/2023 0:00,0.004,0.004,,,,
10/6/2023 0:00,0.004,0.004,,,,
10/7/2023 0:00,0.004,0.004,,,,
10/8/2023 0:00,0.004,0.004,,,,
10/9/2023 0:00,0.003,0.003,,,,
10/10/2023 0:00,0.004,0.004,,,,
10/11/2023 0:00,0.004,0.004,,,,
10/12/2023 0:00,0.006,0.006,,,,
10/13/2023 0:00,0.004,0.004,,,,
10/14/2023 0:00,0.003,0.003,,,,
10/15/2023 0:00,0.004,0.004,,,,
10/16/2023 0:00,0.002,0.002,,,,
10/17/2023 0:00,0.003,0.003,,,,
10/18/2023 0:00,0.007,0.007,,,,
10/19/2023 0:00,0.006,0.006,,,,
10/20/2023 0:00,0.006,0.006,,,,
10/21/2023 0:00,0.004,0.004,,,,
10/22/2023 0:00,0.004,0.004,,,,
10/23/2023 0:00,0.002,0.002,,,,
10/24/2023 0:00,0.005,0.005,,,,
10/25/2023 0:00,0.003,0.003,,,,
10/26/2023 0:00,0.003,0.003,,,,
10/27/2023 0:00,0.002,0.002,,,,
10/28/2023 0:00,0.002,0.002,,,,
10/29/2023 0:00,0.001,0.001,,,,
10/30/2023 0:00,0.005,0.005,,,,
10/31/2023 0:00,0.004,0.004,,,,
11/1/2023 0:00,0.002,0.002,,,,
11/2/2023 0:00,0.001,0.001,,,,
11/3/2023 0:00,0.002,0.002,,,,
11/4/2023 0:00,,,,,,
11/5/2023 0:00,,,,,,
11/6/2023 0:00,,,,,,
11/7/2023 0:00,,,,,,
11/8/2023 0:00,,,,,,
11/9/2023 0:00,,,,,,
11/10/2023 0:00,,,,,,
11/11/2023 0:00,,,,,,
11/12/2023 0:00,,,,,,
11/13/2023 0:00,,,,,,
11/14/2023 0:00,,,,,,
11/15/2023 0:00,,,,,,
11/16/2023 0:00,,,,,,
11/17/2023 0:00,,,,,,
11/18/2023 0:00,,,,,,
11/19/2023 0:00,,,,,,
11/20/2023 0:00,,,,,,
11/21/2023 0:00,,,,,,0.065
11/22/2023 0:00,,,,,,0.016
11/23/2023 0:00,,,,,,0.025
11/24/2023 0:00,,,,,,0.034
11/25/2023 0:00,,,,,,0.028
11/26/2023 0:00,,,,,,0.017
11/27/2023 0:00,,,,,,0.013
11/28/2023 0:00,,,,,,0.026
11/29/2023 0:00,,,,,,0.018
11/30/2023 0:00,,,,,,0.028
12/1/2023 0:00,,,,,,0.026
12/2/2023 0:00,,,,,,0.022
12/3/2023 0:00,,,,,,0.019
12/4/2023 0:00,,,,,,0.029
12/5/2023 0:00,,,,,,0.017
12/6/2023 0:00,,,,,,0.018
12/7/2023 0:00,,,,,,0.019
12/8/2023 0:00,,,,,,0.027
12/9/2023 0:00,,,,,,0.018
12/10/2023 0:00,,,,,,0.014
12/11/2023 0:00,,,,,,0.017
12/12/2023 0:00,,,,,,0.02
12/13/2023 0:00,,,,,,0.029
12/14/2023 0:00,,,,,,0.024
12/15/2023 0:00,,,,,,0.015
12/16/2023 0:00,,,,0.015,,0.021
12/17/2023 0:00,,,0.511,0.012,,0.02
12/18/2023 0:00,,,0.591,0.037,,0.027
12/19/2023 0:00,,,1.11,0.334,,0.259
12/20/2023 0:00,,,0.736,0.04,,0.049
12/21/2023 0:00,,,4.79,0.275,,0.102
12/22/2023 0:00,,,2.43,45.9,,0
12/23/2023 0:00,,,5.62,0.029,,0.037
12/24/2023 0:00,,,0.537,0.018,,0.022
12/25/2023 0:00,,,0.523,0.016,,0.016
12/26/2023 0:00,,,0.514,0.027,,0.025
12/27/2023 0:00,,,0.526,0.021,,0.021
12/28/2023 0:00,,,0.552,0.039,,0.034
12/29/2023 0:00,,,0.537,0.016,,0.021
12/30/2023 0:00,,,0.544,0.036,,0.042
12/31/2023 0:00,,,4.18,0.34,,0.046
1/1/2024 0:00,,,2.03,0.018,,0.024
1/2/2024 0:00,,,0.817,0.013,,0.021
1/3/2024 0:00,,,0.527,0.019,,0.02
1/4/2024 0:00,,,6.32,0.015,,0.02
1/5/2024 0:00,,,0.488,0.013,,0.023
1/6/2024 0:00,,,0.508,0.015,,0.018
1/7/2024 0:00,,,0.566,0.027,,0.035
1/8/2024 0:00,,,0.545,0.014,,0.012
1/9/2024 0:00,,,0.46,0.01,,0.016
1/10/2024 0:00,,,0.512,0.014,,0.018
1/11/2024 0:00,,,0.624,0.052,,0.039
1/12/2024 0:00,,,0.62,0.014,,0.022
1/13/2024 0:00,,,0.551,0.022,,0.019
1/14/2024 0:00,,,0.591,0.019,,0.025
1/15/2024 0:00,,,0.614,0.02,,0.026
1/16/2024 0:00,,,0.642,0.022,,0.026
1/17/2024 0:00,,,0.661,0.047,,0.04
1/18/2024 0:00,,,0.766,0.04,,0.046
1/19/2024 0:00,,,0.688,0.024,,0.023
1/20/2024 0:00,,,0.722,0.05,,0.034
1/21/2024 0:00,,,7.15,1.03,,0.161
1/22/2024 0:00,,,2,0.043,,0.052
1/23/2024 0:00,,,12.8,0.124,,0.072
1/24/2024 0:00,,,0.863,0.032,,0.035
1/25/2024 0:00,,,0.568,0.032,,0.041
1/26/2024 0:00,,,0.63,0.021,,0.025
1/27/2024 0:00,,,0.56,0.025,,0.013
1/28/2024 0:00,,,0.572,0.022,,0.03
1/29/2024 0:00,,,0.569,0.017,,0.023
1/30/2024 0:00,,,0.561,0.017,,0.026
1/31/2024 0:00,,,0.548,0.017,,0.024
2/1/2024 0:00,,,1.03,0.146,,0.027
2/2/2024 0:00,,,13.1,1.04,,1.44
2/3/2024 0:00,,,3.32,0.052,,0.036
2/4/2024 0:00,,,0.796,0.055,,0.044
2/5/2024 0:00,,,7.82,20.1,,0
2/6/2024 0:00,,,38.1,38.5,,1.73
2/7/2024 0:00,,,25.5,0.486,,0.385
2/8/2024 0:00,,,7.04,23.2,,0.754
2/9/2024 0:00,,,5.11,0.7,,0.181
2/10/2024 0:00,,,7.56,0.175,,0.05
2/11/2024 0:00,,,1.53,0.098,,0.042
2/12/2024 0:00,,,1.12,0.053,,0.026
2/13/2024 0:00,,,0.941,0.044,,0.027
2/14/2024 0:00,,,0.868,0.051,,0.042
2/15/2024 0:00,,,0.854,0.041,,0.031
2/16/2024 0:00,,,0.861,0.071,0.347,0.061
2/17/2024 0:00,,,0.867,0.059,0.348,0.046
2/18/2024 0:00,,,0.799,0.047,0.315,0.039
2/19/2024 0:00,,,0.836,0.042,0.316,0.035
2/20/2024 0:00,,,1.7,0.385,0.905,0.15
2/21/2024 0:00,,,15.2,1.05,2.55,0.199
2/22/2024 0:00,,,5.41,0.142,0.275,0.065
2/23/2024 0:00,,,1.26,0.078,0.298,0.042
2/24/2024 0:00,,,1.05,0.058,0.299,0.046
2/25/2024 0:00,,,0.929,0.044,0.259,0.042
2/26/2024 0:00,,,0.675,0.075,0.309,0.047
2/27/2024 0:00,,,0.989,0.078,0.362,0.046
2/28/2024 0:00,,,0.996,0.059,0.194,0.03
2/29/2024 0:00,,,0.983,0.097,0.273,0.047
3/1/2024 0:00,,,1.11,0.094,0.343,0.052
3/2/2024 0:00,,,1.09,0.102,1.08,0.062
3/3/2024 0:00,,,2.46,0.106,0.332,0.054
3/4/2024 0:00,,,2.61,0.082,0.306,0.046
3/5/2024 0:00,,,1.06,0.06,0.275,0.034
3/6/2024 0:00,,,1.07,0.078,0.242,0.033
3/7/2024 0:00,,,6.72,0.296,0.526,0.078
3/8/2024 0:00,,,1.35,0.066,0.27,0.026
3/9/2024 0:00,,,1.06,0.047,0.25,0.03
3/10/2024 0:00,,,1.03,0.057,0.232,0.03
3/11/2024 0:00,,,1.02,0.056,0.142,0.025
3/12/2024 0:00,,,1.29,2.14,0.173,0.048
3/13/2024 0:00,,,1.27,0.076,0.147,0.038
3/14/2024 0:00,,,1.04,0.06,0.157,0.032
3/15/2024 0:00,,,0.979,0.078,0.249,0.107
3/16/2024 0:00,,,0.915,0.036,0.16,0.05
3/17/2024 0:00,,,0.811,0.038,0.125,0.03
3/18/2024 0:00,,,0.79,0.047,0.126,0.03
3/19/2024 0:00,,,1.03,0.057,0.155,0.048
3/20/2024 0:00,,,0.928,0.04,0.155,0.041
3/21/2024 0:00,,,0.896,0.06,0.176,0.047
3/22/2024 0:00,,,0.819,0.037,0.174,0.035
3/23/2024 0:00,,,0.834,0.063,0.168,0.048
3/24/2024 0:00,,,6.08,0.128,0.268,0.047
3/25/2024 0:00,,,0.73,0.023,0.132,0.025
3/26/2024 0:00,,,0.576,0.024,0.227,0.038
3/27/2024 0:00,,,0.602,0.017,0.154,0.032
3/28/2024 0:00,,,0.594,0.021,0.138,0.026
3/29/2024 0:00,,,0.699,0.02,0.148,0.027
3/30/2024 0:00,,,0.598,0.036,0.237,0.047
3/31/2024 0:00,,,16.5,0.513,0.569,0.113
4/1/2024 0:00,,,14.6,0.413,0.545,0.099
4/2/2024 0:00,,,1.89,0.1,0.235,0.052
4/3/2024 0:00,,,1.14,0.057,0.151,0.038
4/4/2024 0:00,,,0.968,0.081,0.238,0.059
4/5/2024 0:00,,,0.966,0.049,0.174,0.034
4/6/2024 0:00,,,3.03,0.033,0.198,0.026
4/7/2024 0:00,,,0.779,0.031,0.16,0.03
4/8/2024 0:00,,,0.769,0.028,0.164,0.025
4/9/2024 0:00,,,0.805,0.032,0.146,0.03
4/10/2024 0:00,,,0.783,0.027,0.135,0.034
4/11/2024 0:00,,,0.805,0.058,0.178,0.038
4/12/2024 0:00,,,0.819,0.06,0.263,0.058
4/13/2024 0:00,,,0.842,0.059,0.279,0.055
4/14/2024 0:00,,,2.9,0.061,0.195,0.032
4/15/2024 0:00,,,0.917,0.028,0.152,0.058
4/16/2024 0:00,,,0.71,0.03,0.154,0.034
4/17/2024 0:00,,,0.708,0.018,0.13,0.032
4/18/2024 0:00,,,0.687,0.041,0.164,0.03
4/19/2024 0:00,,,0.744,0.045,0.277,0.052
4/20/2024 0:00,,,0.731,0.043,0.233,0.05
4/21/2024 0:00,,,0.669,0.026,0.235,0.045
4/22/2024 0:00,,,0.696,0.032,0.21,0.05
4/23/2024 0:00,,,0.673,0.034,0.296,0.048
4/24/2024 0:00,,,0.663,0.035,0.226,0.053
4/25/2024 0:00,,,0.7,0.036,0.237,0.043
4/26/2024 0:00,,,0.627,0.019,0.23,0.035
4/27/2024 0:00,,,0.627,0.031,0.301,0.034
4/28/2024 0:00,,,0.59,0.017,0.258,0.026
4/29/2024 0:00,,,0.589,0.016,0.212,0.035
4/30/2024 0:00,,,0.633,0.046,0.313,0.054
5/1/2024 0:00,,,0.7,0.045,0.34,0.053
5/2/2024 0:00,,,0.67,0.039,0.393,0.043
5/3/2024 0:00,,,0.637,0.038,0.379,0.062
5/4/2024 0:00,,,0.635,0.043,0.406,0.049
5/5/2024 0:00,,,0.65,0.034,0.331,0.039
5/6/2024 0:00,,,1.73,0.017,0.259,0.032
5/7/2024 0:00,,,0.528,0.016,0.175,0.029
5/8/2024 0:00,,,0.594,0.023,0.253,0.055
5/9/2024 0:00,,,0.594,0.034,0.228,0.034
5/10/2024 0:00,,,0.647,0.021,0.286,0.038
5/11/2024 0:00,,,0.639,0.036,0.349,0.047
5/12/2024 0:00,,,0.631,0.029,0.296,0.046
5/13/2024 0:00,,,0.609,0.028,0.353,0.051
5/14/2024 0:00,,,0.604,0.029,0.304,0.055
5/15/2024 0:00,,,0.608,0.033,0.341,0.052
5/16/2024 0:00,,,0.569,0.032,0.256,0.046
5/17/2024 0:00,,,0.6,0.032,0.413,0.052
5/18/2024 0:00,,,0.613,0.031,0.368,0.047
5/19/2024 0:00,,,0.627,0.036,0.325,0.042
5/20/2024 0:00,,,0.616,0.034,0.278,0.051
5/21/2024 0:00,,,0.608,0.027,,0.047
5/22/2024 0:00,,,0.585,0.019,,0.038
5/23/2024 0:00,,,0.609,0.03,,0.042
5/24/2024 0:00,,,0.781,0.11,,0.05
5/25/2024 0:00,,,1.17,0.088,,0.041
5/26/2024 0:00,,,1.04,0.072,,0.036
5/27/2024 0:00,,,0.967,0.041,,0.026
5/28/2024 0:00,,,0.842,0.102,,0.05
5/29/2024 0:00,,,0.823,0.037,,0.039
5/30/2024 0:00,,,0.7,0.034,,0.039
5/31/2024 0:00,,,0.677,0.037,,0.045
6/1/2024 0:00,,,0.679,0.041,,0.039
6/2/2024 0:00,,,0.659,0.028,,0.048
6/3/2024 0:00,,,0.624,0.037,,0.047
6/4/2024 0:00,,,0.607,0.033,,0.038
6/5/2024 0:00,,,0.628,0.039,,0.046
6/6/2024 0:00,,,0.628,0.031,,0.052
6/7/2024 0:00,,,0.623,0.032,,0.047
6/8/2024 0:00,,,0.593,0.038,,0.04
6/9/2024 0:00,,,0.615,0.035,,0.039
6/10/2024 0:00,,,0.653,0.033,,0.05
6/11/2024 0:00,,,0.605,0.032,,0.04
6/12/2024 0:00,,,0.736,0.03,,0.049
6/13/2024 0:00,,,0.602,0.035,,0.045
6/14/2024 0:00,,,0.613,0.02,,0.034
6/15/2024 0:00,,,0.654,0.022,,0.031
6/16/2024 0:00,,,0.674,0.039,,0.034
6/17/2024 0:00,,,0.731,0.044,,0.051
6/18/2024 0:00,,,0.916,0.086,,0.052
6/19/2024 0:00,,,1.05,0.087,,0.038
6/20/2024 0:00,,,1.12,0.102,,
6/21/2024 0:00,,,1.15,0.075,,
6/22/2024 0:00,,,1.29,0.104,,
6/23/2024 0:00,,,1.53,0.17,,
6/24/2024 0:00,,,1.67,0.177,,
6/25/2024 0:00,,,1.59,0.185,,
6/26/2024 0:00,,,1.59,0.122,,
6/27/2024 0:00,,,1.47,0.146,,
6/28/2024 0:00,,,1.65,0.188,,
6/29/2024 0:00,,,1.63,0.145,,
6/30/2024 0:00,,,1.64,0.134,,
7/1/2024 0:00,,,1.7,0.2,,
7/2/2024 0:00,,,1.72,0.175,,
7/3/2024 0:00,,,,,,
7/4/2024 0:00,,,,,,
7/5/2024 0:00,,,,,,
7/6/2024 0:00,,,,,,
7/7/2024 0:00,,,,,,
7/8/2024 0:00,,,,,,
7/9/2024 0:00,,,,,,
7/10/2024 0:00,,,,,,
7/11/2024 0:00,,,,,,
7/12/2024 0:00,,,,,,
7/13/2024 0:00,,,,,,
7/14/2024 0:00,,,,,,
7/15/2024 0:00,,,,,,
7/16/2024 0:00,,,,,,
7/17/2024 0:00,,,,,,
7/18/2024 0:00,,,,,,
7/19/2024 0:00,,,,,,
7/20/2024 0:00,,,,,,
7/21/2024 0:00,,,,,,
7/22/2024 0:00,,,,,,
7/23/2024 0:00,,,,,,
7/24/2024 0:00,,,,,,
7/25/2024 0:00,,,,,,
7/26/2024 0:00,,,,,,
7/27/2024 0:00,,,,,,
7/28/2024 0:00,,,,,,
7/29/2024 0:00,,,,,,
7/30/2024 0:00,,,,,,
7/31/2024 0:00,,,,,,
8/1/2024 0:00,,,,,,
8/2/2024 0:00,,,,,,
8/3/2024 0:00,,,,,,
8/4/2024 0:00,,,,,,
8/5/2024 0:00,,,,,,
8/6/2024 0:00,,,,,,
8/7/2024 0:00,,,,,,
8/8/2024 0:00,,,,,,
8/9/2024 0:00,,,,,,
8/10/2024 0:00,,,,,,
8/11/2024 0:00,,,,,,
8/12/2024 0:00,,,,,,
8/13/2024 0:00,,,,,,
8/14/2024 0:00,,,,,,
8/15/2024 0:00,,,,,,
8/16/2024 0:00,,,,,,
8/17/2024 0:00,,,,,,
8/18/2024 0:00,,,,,,
8/19/2024 0:00,,,,,,
8/20/2024 0:00,,,,,,
8/21/2024 0:00,,,,,,
8/22/2024 0:00,,,,,,
8/23/2024 0:00,,,,,,
8/24/2024 0:00,,,,,,
8/25/2024 0:00,,,,,,
8/26/2024 0:00,,,,,,
8/27/2024 0:00,,,,,,
8/28/2024 0:00,,,,,,
8/29/2024 0:00,,,,,,
8/30/2024 0:00,,,,,,
8/31/2024 0:00,,,,,,
9/1/2024 0:00,,,,,,
9/2/2024 0:00,,,,,,
9/3/2024 0:00,,,,,,
9/4/2024 0:00,,,,,,
9/5/2024 0:00,,,,,,
9/6/2024 0:00,,,,,,
9/7/2024 0:00,,,,,,
9/8/2024 0:00,,,,,,
9/9/2024 0:00,,,,,,
9/10/2024 0:00,,,,,,
9/11/2024 0:00,,,,,,
9/12/2024 0:00,,,,,,
9/13/2024 0:00,,,,,,
9/14/2024 0:00,,,,,,
9/15/2024 0:00,,,,,,
9/16/2024 0:00,,,,,,
9/17/2024 0:00,,,,,,
9/18/2024 0:00,,,,,,
9/19/2024 0:00,,,,,,
9/20/2024 0:00,,,,,,
9/21/2024 0:00,,,,,,
9/22/2024 0:00,,,,,,
9/23/2024 0:00,,,,,,
9/24/2024 0:00,,,,,,
9/25/2024 0:00,,,,,,
9/26/2024 0:00,,,,,,
9/27/2024 0:00,,,,,,
9/28/2024 0:00,,,,,,
9/29/2024 0:00,,,,,,
9/30/2024 0:00,,,,,,
10/1/2024 0:00,,,,,,
10/2/2024 0:00,,,,,,
