"","Inst Time","Flow (cfs)"
"3","10/1/2023 0:00",""
"4","10/2/2023 0:00",""
"5","10/3/2023 0:00",""
"6","10/4/2023 0:00",""
"7","10/5/2023 0:00",""
"8","10/6/2023 0:00",""
"9","10/7/2023 0:00",""
"10","10/8/2023 0:00",""
"11","10/9/2023 0:00",""
"12","10/10/2023 0:00",""
"13","10/11/2023 0:00",""
"14","10/12/2023 0:00",""
"15","10/13/2023 0:00",""
"16","10/14/2023 0:00",""
"17","10/15/2023 0:00",""
"18","10/16/2023 0:00",""
"19","10/17/2023 0:00",""
"20","10/18/2023 0:00",""
"21","10/19/2023 0:00",""
"22","10/20/2023 0:00",""
"23","10/21/2023 0:00",""
"24","10/22/2023 0:00",""
"25","10/23/2023 0:00",""
"26","10/24/2023 0:00",""
"27","10/25/2023 0:00",""
"28","10/26/2023 0:00",""
"29","10/27/2023 0:00",""
"30","10/28/2023 0:00",""
"31","10/29/2023 0:00",""
"32","10/30/2023 0:00",""
"33","10/31/2023 0:00",""
"34","11/1/2023 0:00",""
"35","11/2/2023 0:00",""
"36","11/3/2023 0:00",""
"37","11/4/2023 0:00",""
"38","11/5/2023 0:00",""
"39","11/6/2023 0:00",""
"40","11/7/2023 0:00",""
"41","11/8/2023 0:00",""
"42","11/9/2023 0:00",""
"43","11/10/2023 0:00",""
"44","11/11/2023 0:00",""
"45","11/12/2023 0:00",""
"46","11/13/2023 0:00",""
"47","11/14/2023 0:00",""
"48","11/15/2023 0:00",""
"49","11/16/2023 0:00",""
"50","11/17/2023 0:00",""
"51","11/18/2023 0:00",""
"52","11/19/2023 0:00",""
"53","11/20/2023 0:00",""
"54","11/21/2023 0:00",""
"55","11/22/2023 0:00",""
"56","11/23/2023 0:00",""
"57","11/24/2023 0:00",""
"58","11/25/2023 0:00",""
"59","11/26/2023 0:00",""
"60","11/27/2023 0:00",""
"61","11/28/2023 0:00",""
"62","11/29/2023 0:00",""
"63","11/30/2023 0:00",""
"64","12/1/2023 0:00",""
"65","12/2/2023 0:00",""
"66","12/3/2023 0:00",""
"67","12/4/2023 0:00",""
"68","12/5/2023 0:00",""
"69","12/6/2023 0:00",""
"70","12/7/2023 0:00",""
"71","12/8/2023 0:00",""
"72","12/9/2023 0:00",""
"73","12/10/2023 0:00",""
"74","12/11/2023 0:00",""
"75","12/12/2023 0:00",""
"76","12/13/2023 0:00",""
"77","12/14/2023 0:00",""
"78","12/15/2023 0:00",""
"79","12/16/2023 0:00",""
"80","12/17/2023 0:00",""
"81","12/18/2023 0:00",""
"82","12/19/2023 0:00",""
"83","12/20/2023 0:00",""
"84","12/21/2023 0:00",""
"85","12/22/2023 0:00",""
"86","12/23/2023 0:00",""
"87","12/24/2023 0:00",""
"88","12/25/2023 0:00",""
"89","12/26/2023 0:00",""
"90","12/27/2023 0:00",""
"91","12/28/2023 0:00",""
"92","12/29/2023 0:00",""
"93","12/30/2023 0:00",""
"94","12/31/2023 0:00",""
"95","1/1/2024 0:00",""
"96","1/2/2024 0:00",""
"97","1/3/2024 0:00",""
"98","1/4/2024 0:00",""
"99","1/5/2024 0:00",""
"100","1/6/2024 0:00",""
"101","1/7/2024 0:00",""
"102","1/8/2024 0:00",""
"103","1/9/2024 0:00",""
"104","1/10/2024 0:00",""
"105","1/11/2024 0:00",""
"106","1/12/2024 0:00",""
"107","1/13/2024 0:00",""
"108","1/14/2024 0:00",""
"109","1/15/2024 0:00",""
"110","1/16/2024 0:00",""
"111","1/17/2024 0:00",""
"112","1/18/2024 0:00",""
"113","1/19/2024 0:00",""
"114","1/20/2024 0:00",""
"115","1/21/2024 0:00",""
"116","1/22/2024 0:00",""
"117","1/23/2024 0:00",""
"118","1/24/2024 0:00",""
"119","1/25/2024 0:00",""
"120","1/26/2024 0:00",""
"121","1/27/2024 0:00",""
"122","1/28/2024 0:00",""
"123","1/29/2024 0:00",""
"124","1/30/2024 0:00",""
"125","1/31/2024 0:00",""
"126","2/1/2024 0:00",""
"127","2/2/2024 0:00",""
"128","2/3/2024 0:00",""
"129","2/4/2024 0:00",""
"130","2/5/2024 0:00",""
"131","2/6/2024 0:00",""
"132","2/7/2024 0:00",""
"133","2/8/2024 0:00",""
"134","2/9/2024 0:00",""
"135","2/10/2024 0:00",""
"136","2/11/2024 0:00",""
"137","2/12/2024 0:00",""
"138","2/13/2024 0:00",""
"139","2/14/2024 0:00",""
"140","2/15/2024 0:00",""
"141","2/16/2024 0:00",""
"142","2/17/2024 0:00",""
"143","2/18/2024 0:00",""
"144","2/19/2024 0:00",""
"145","2/20/2024 0:00",""
"146","2/21/2024 0:00",""
"147","2/22/2024 0:00",""
"148","2/23/2024 0:00",""
"149","2/24/2024 0:00",""
"150","2/25/2024 0:00",""
"151","2/26/2024 0:00",""
"152","2/27/2024 0:00",""
"153","2/28/2024 0:00",""
"154","2/29/2024 0:00",""
"155","3/1/2024 0:00",""
"156","3/2/2024 0:00",""
"157","3/3/2024 0:00",""
"158","3/4/2024 0:00",""
"159","3/5/2024 0:00",""
"160","3/6/2024 0:00",""
"161","3/7/2024 0:00",""
"162","3/8/2024 0:00",""
"163","3/9/2024 0:00",""
"164","3/10/2024 0:00",""
"165","3/11/2024 0:00",""
"166","3/12/2024 0:00",""
"167","3/13/2024 0:00",""
"168","3/14/2024 0:00",""
"169","3/15/2024 0:00",""
"170","3/16/2024 0:00",""
"171","3/17/2024 0:00",""
"172","3/18/2024 0:00",""
"173","3/19/2024 0:00",""
"174","3/20/2024 0:00",""
"175","3/21/2024 0:00",""
"176","3/22/2024 0:00",""
"177","3/23/2024 0:00",""
"178","3/24/2024 0:00",""
"179","3/25/2024 0:00",""
"180","3/26/2024 0:00",""
"181","3/27/2024 0:00",""
"182","3/28/2024 0:00",""
"183","3/29/2024 0:00",""
"184","3/30/2024 0:00",""
"185","3/31/2024 0:00",""
"186","4/1/2024 0:00",""
"187","4/2/2024 0:00",""
"188","4/3/2024 0:00",""
"189","4/4/2024 0:00",""
"190","4/5/2024 0:00",""
"191","4/6/2024 0:00",""
"192","4/7/2024 0:00",""
"193","4/8/2024 0:00",""
"194","4/9/2024 0:00",""
"195","4/10/2024 0:00",""
"196","4/11/2024 0:00",""
"197","4/12/2024 0:00",""
"198","4/13/2024 0:00",""
"199","4/14/2024 0:00",""
"200","4/15/2024 0:00",""
"201","4/16/2024 0:00",""
"202","4/17/2024 0:00",""
"203","4/18/2024 0:00",""
"204","4/19/2024 0:00",""
"205","4/20/2024 0:00",""
"206","4/21/2024 0:00",""
"207","4/22/2024 0:00",""
"208","4/23/2024 0:00",""
"209","4/24/2024 0:00",""
"210","4/25/2024 0:00",""
"211","4/26/2024 0:00",""
"212","4/27/2024 0:00","0.014"
"213","4/28/2024 0:00","0.014"
"214","4/29/2024 0:00","0.014"
"215","4/30/2024 0:00","0.015"
"216","5/1/2024 0:00","0.014"
"217","5/2/2024 0:00","0.014"
"218","5/3/2024 0:00","0.014"
"219","5/4/2024 0:00","0.014"
"220","5/5/2024 0:00","0.023"
"221","5/6/2024 0:00","0.013"
"222","5/7/2024 0:00","0.014"
"223","5/8/2024 0:00","0.014"
"224","5/9/2024 0:00","0.015"
"225","5/10/2024 0:00","0.014"
"226","5/11/2024 0:00","0.014"
"227","5/12/2024 0:00","0.013"
"228","5/13/2024 0:00","0.014"
"229","5/14/2024 0:00","0.014"
"230","5/15/2024 0:00","0.014"
"231","5/16/2024 0:00","0.013"
"232","5/17/2024 0:00","0.013"
"233","5/18/2024 0:00","0.013"
"234","5/19/2024 0:00","0.013"
"235","5/20/2024 0:00","0.013"
"236","5/21/2024 0:00","0.012"
"237","5/22/2024 0:00","0.012"
"238","5/23/2024 0:00","0.013"
"239","5/24/2024 0:00","0.012"
"240","5/25/2024 0:00","0.012"
"241","5/26/2024 0:00","0.013"
"242","5/27/2024 0:00","0.012"
"243","5/28/2024 0:00","0.013"
"244","5/29/2024 0:00","0.013"
"245","5/30/2024 0:00","0.013"
"246","5/31/2024 0:00","0.013"
"247","6/1/2024 0:00","0.013"
"248","6/2/2024 0:00","0.012"
"249","6/3/2024 0:00","0.013"
"250","6/4/2024 0:00","0.013"
"251","6/5/2024 0:00","0.014"
"252","6/6/2024 0:00","0.014"
"253","6/7/2024 0:00","0.013"
"254","6/8/2024 0:00","0.013"
"255","6/9/2024 0:00","0.013"
"256","6/10/2024 0:00","0.013"
"257","6/11/2024 0:00","0.014"
"258","6/12/2024 0:00","0.014"
"259","6/13/2024 0:00","0.011"
"260","6/14/2024 0:00","0.012"
"261","6/15/2024 0:00","0.013"
"262","6/16/2024 0:00","0.013"
"263","6/17/2024 0:00","0.012"
"264","6/18/2024 0:00","0.012"
"265","6/19/2024 0:00","0.012"
"266","6/20/2024 0:00","0.012"
"267","6/21/2024 0:00","0.013"
"268","6/22/2024 0:00","0.013"
"269","6/23/2024 0:00","0.012"
"270","6/24/2024 0:00","0.012"
"271","6/25/2024 0:00","0.013"
"272","6/26/2024 0:00","0.014"
"273","6/27/2024 0:00","0.013"
"274","6/28/2024 0:00","0.013"
"275","6/29/2024 0:00","0.013"
"276","6/30/2024 0:00","0.013"
"277","7/1/2024 0:00","0.013"
"278","7/2/2024 0:00","0.013"
"279","7/3/2024 0:00","0.014"
"280","7/4/2024 0:00","0.013"
"281","7/5/2024 0:00","0.017"
"282","7/6/2024 0:00","0.022"
"283","7/7/2024 0:00","0.021"
"284","7/8/2024 0:00","0.016"
"285","7/9/2024 0:00","0.014"
"286","7/10/2024 0:00","0.013"
"287","7/11/2024 0:00","0.013"
"288","7/12/2024 0:00","0.012"
"289","7/13/2024 0:00","0.012"
"290","7/14/2024 0:00","0.013"
"291","7/15/2024 0:00","0.013"
"292","7/16/2024 0:00","0.013"
"293","7/17/2024 0:00","0.013"
"294","7/18/2024 0:00","0.012"
"295","7/19/2024 0:00","0.013"
"296","7/20/2024 0:00","0.013"
"297","7/21/2024 0:00","0.012"
"298","7/22/2024 0:00","0.013"
"299","7/23/2024 0:00","0.013"
"300","7/24/2024 0:00","0.013"
"301","7/25/2024 0:00","0.012"
"302","7/26/2024 0:00","0.012"
"303","7/27/2024 0:00","0.012"
"304","7/28/2024 0:00","0.009"
"305","7/29/2024 0:00","0.01"
"306","7/30/2024 0:00","0.01"
"307","7/31/2024 0:00","0.01"
"308","8/1/2024 0:00","0.01"
"309","8/2/2024 0:00","0.009"
"310","8/3/2024 0:00","0.009"
"311","8/4/2024 0:00","0.009"
"312","8/5/2024 0:00","0.009"
"313","8/6/2024 0:00","0.009"
"314","8/7/2024 0:00","0.009"
"315","8/8/2024 0:00","0.01"
"316","8/9/2024 0:00","0.01"
"317","8/10/2024 0:00","0.009"
"318","8/11/2024 0:00","0.009"
"319","8/12/2024 0:00","0.01"
"320","8/13/2024 0:00","0.009"
"321","8/14/2024 0:00","0.009"
"322","8/15/2024 0:00","0.009"
"323","8/16/2024 0:00","0.009"
"324","8/17/2024 0:00","0.009"
"325","8/18/2024 0:00","0.009"
"326","8/19/2024 0:00","0.008"
"327","8/20/2024 0:00","0.008"
"328","8/21/2024 0:00","0.009"
"329","8/22/2024 0:00","0.009"
"330","8/23/2024 0:00","0.009"
"331","8/24/2024 0:00","0.009"
"332","8/25/2024 0:00","0.009"
"333","8/26/2024 0:00","0.01"
"334","8/27/2024 0:00","0.009"
"335","8/28/2024 0:00","0.01"
"336","8/29/2024 0:00","0.009"
"337","8/30/2024 0:00","0.009"
"338","8/31/2024 0:00","0.01"
"339","9/1/2024 0:00","0.01"
"340","9/2/2024 0:00","0.009"
"341","9/3/2024 0:00","0.009"
"342","9/4/2024 0:00","0.009"
"343","9/5/2024 0:00","0.008"
"344","9/6/2024 0:00","0.008"
"345","9/7/2024 0:00","0.009"
"346","9/8/2024 0:00","0.007"
"347","9/9/2024 0:00","0.008"
"348","9/10/2024 0:00","0.009"
"349","9/11/2024 0:00","0.009"
"350","9/12/2024 0:00","0.01"
"351","9/13/2024 0:00","0.01"
"352","9/14/2024 0:00","0.009"
"353","9/15/2024 0:00","0.009"
"354","9/16/2024 0:00","0.008"
"355","9/17/2024 0:00","0.009"
"356","9/18/2024 0:00","0.009"
"357","9/19/2024 0:00","0.009"
"358","9/20/2024 0:00","0.009"
"359","9/21/2024 0:00","0.009"
"360","9/22/2024 0:00","0.009"
"361","9/23/2024 0:00","0.01"
"362","9/24/2024 0:00","0.009"
"363","9/25/2024 0:00","0.009"
"364","9/26/2024 0:00","0.008"
"365","9/27/2024 0:00","0.009"
"366","9/28/2024 0:00","0.009"
"367","9/29/2024 0:00","0.009"
"368","9/30/2024 0:00","0.009"
"369","10/1/2024 0:00","0.009"
