Jurisdiction,Facility Identifier,JURISDICTI3,AnnualCF,avgCnx,Qadj_Qall,QJur_S,QJur_US
MISSION VIEJO,L04-136-1 (L04P07),MISSION VIEJO,6320904.678143999,0.885,5594000.640157439,NA,31892100.351538483
MISSION VIEJO,L04-266-1,MISSION VIEJO,39435.984039435985,1,39435.984039435985,NA,31892100.351538483
MISSION VIEJO,L04-301-1 (L04P08),MISSION VIEJO,612887.7726720001,0.77,471923.58495744003,NA,31892100.351538483
MISSION VIEJO,L04-702-1 (L04P02),LAGUNA HILLS,341271.90993516665,1,341271.90993516665,NA,16673824.852583786
ORANGE CO,L05-489-3d,ORANGE CO,23794296.867936004,1,23794296.867936004,NA,55316727.45998856
ORANGE CO,L05-489-4,ORANGE CO,8212700.159999997,0.635,5215064.601599998,NA,55316727.45998856
ORANGE CO,L05-489-7,ORANGE CO,776134.9332887027,1,776134.9332887027,NA,55316727.45998856
LAGUNA BEACH,LC01-11446-1,LAGUNA BEACH,176813.769874646,0.25,44203.4424686615,NA,1899568.6488852124
LAGUNA BEACH,LC01-11446-1,ORANGE CO,250448.9065638313,0.25,62612.22664095782,NA,55316727.45998856
ORANGE CO,LC01-11480-1,LAGUNA BEACH,144505.47895454898,0.5,72252.73947727449,NA,1899568.6488852124
ORANGE CO,LC01-11480-1,ORANGE CO,69617.31000365205,0.5,34808.655001826024,NA,55316727.45998856
LAGUNA BEACH,LC02-11508-2,LAGUNA BEACH,118423.02434595842,0,0,NA,1899568.6488852124
LAGUNA BEACH,LC02-11508-2,ORANGE CO,5992.97565777408,0,0,NA,55316727.45998856
LAGUNA BEACH,LC03-11515-1,LAGUNA BEACH,681150.1986500198,0.385,262242.8264802576,NA,1899568.6488852124
LAGUNA BEACH,LC03-11515-1,ORANGE CO,15579.401349980159,0.385,5998.069519742361,NA,55316727.45998856
LAGUNA BEACH,LC04-11199-1,LAGUNA BEACH,466089.23682938877,1,466089.23682938877,NA,1899568.6488852124
LAGUNA BEACH,LC04-11199-1,ORANGE CO,31574.76316563456,1,31574.76316563456,NA,55316727.45998856
LAGUNA BEACH,LC05-11017-2,LAGUNA BEACH,149299.19999999998,0,0,NA,1899568.6488852124
LAGUNA BEACH,LC06-11019-1,LAGUNA BEACH,89206.8537592627,0.8333333333333334,74339.04479938558,NA,1899568.6488852124
LAGUNA BEACH,LC06-11019-1,ORANGE CO,9686.045729968127,0.8333333333333334,8071.70477497344,NA,55316727.45998856
LAGUNA BEACH,LC06-11509-2,LAGUNA BEACH,141943.40909789182,1,141943.40909789182,NA,1899568.6488852124
LAGUNA BEACH,LC06-11509-2,ORANGE CO,82005.39300722687,1,82005.39300722687,NA,55316727.45998856
SAN CLEMENTE,M00.1-071-2 (M00S04),SAN CLEMENTE,150854.4001508544,0.5,75427.2000754272,NA,23066632.703704353
SAN CLEMENTE,M00.1-071-3 (M00S04),SAN CLEMENTE,368842.50590148,0.68,250812.90401300642,NA,23066632.703704353
SAN CLEMENTE,M00.2-066-1 (M00S07),SAN CLEMENTE,140643.94789368747,0.5,70321.97394684373,NA,23066632.703704353
SAN CLEMENTE,M01-038-3,SAN CLEMENTE,100569.6,0.885,89004.09600000002,NA,23066632.703704353
SAN CLEMENTE,M01-038-6,SAN CLEMENTE,237151.0080854949,0.77,182606.27622583107,NA,23066632.703704353
SAN CLEMENTE,M01-038-6,SAN JUAN CAPISTRANO,2098.790405720123,0.77,1616.0686124044948,NA,17426169.430142604
SAN CLEMENTE,M01-050-4,SAN CLEMENTE,930123.0513404999,1,930123.0513404999,NA,23066632.703704353
DANA POINT,M01-060-3,DANA POINT,7143.726803955304,0.8466666666666667,6048.355360682157,NA,4041123.28077577
DANA POINT,M01-060-3,ORANGE CO,1667344.541147491,0.8466666666666667,1411685.044838209,NA,55316727.45998856
DANA POINT,M01-060-3,SAN CLEMENTE,8254079.610092698,0.8466666666666667,6988454.069878484,NA,23066632.703704353
DANA POINT,M01-060-3,SAN JUAN CAPISTRANO,2077214.6068777267,0.8466666666666667,1758708.3671564753,NA,17426169.430142604
SAN CLEMENTE,M01-099-1,SAN CLEMENTE,1369281.377808,1,1369281.377808,NA,23066632.703704353
SAN CLEMENTE,M01-124-2,SAN CLEMENTE,100569.6,1,100569.6,NA,23066632.703704353
SAN CLEMENTE,M01-124-4,SAN CLEMENTE,62304.603213578404,0.25,15576.150803394601,NA,23066632.703704353
SAN CLEMENTE,M01-124-4,SAN JUAN CAPISTRANO,551.39678516448,0.25,137.84919629112,NA,17426169.430142604
DANA POINT,M01-168-2d (M00P03),DANA POINT,286974.7053264451,0.77,220970.52310136275,NA,4041123.28077577
DANA POINT,M01-168-2d (M00P03),SAN CLEMENTE,401114.7995098139,0.77,308858.3956225567,NA,23066632.703704353
SAN CLEMENTE,M02-013-1,SAN CLEMENTE,401114.7995098139,0.77,308858.3956225567,NA,23066632.703704353
SAN CLEMENTE,M02-015-1,SAN CLEMENTE,296732.7,0.885,262608.43950000004,NA,23066632.703704353
SAN CLEMENTE,M02-028-2 (M02P08),ORANGE CO,816.7537764013194,0.75,612.5653323009896,NA,55316727.45998856
SAN CLEMENTE,M02-028-2 (M02P08),SAN CLEMENTE,698890.4553666426,0.75,524167.8415249819,NA,23066632.703704353
SAN CLEMENTE,M02-052-3,SAN CLEMENTE,3658312.319999999,1,3658312.319999999,NA,23066632.703704353
SAN CLEMENTE,M02-052-4,SAN CLEMENTE,725000.9664959998,1,725000.9664959998,NA,23066632.703704353
SAN CLEMENTE,M02-061-4 (SCBS@M02),SAN CLEMENTE,879660.92016,1,879660.92016,NA,23066632.703704353
SAN CLEMENTE,M02-061-6,SAN CLEMENTE,25142.4,1,25142.4,NA,23066632.703704353
SAN CLEMENTE,M02-086-1,SAN CLEMENTE,6436.202975999999,0.77,4955.876291519999,NA,23066632.703704353
SAN CLEMENTE,M02-102-1,ORANGE CO,29316.733855086328,0.77,22573.88506841647,NA,55316727.45998856
SAN CLEMENTE,M02-102-1,SAN CLEMENTE,734006.5302136125,0.77,565185.0282644816,NA,23066632.703704353
SAN CLEMENTE,SC01-077-1,SAN CLEMENTE,1182977.57664,0.77,910892.7340128,NA,23066632.703704353
SAN CLEMENTE,SC01-077-2,SAN CLEMENTE,351993.6,1,351993.6,NA,23066632.703704353
SAN CLEMENTE,SC02-072-4,SAN CLEMENTE,401114.7995098139,0.77,308858.3956225567,NA,23066632.703704353
SAN CLEMENTE,SC05-073-3,SAN CLEMENTE,52617.26044800001,0,0,NA,23066632.703704353
SAN CLEMENTE,SC06-146-1 (M00P02),SAN CLEMENTE,687580.7817419039,0.5,343790.39087095193,NA,23066632.703704353
SAN CLEMENTE,SC06-146-2 (M00P02),SAN CLEMENTE,1091239.599285883,0.5,545619.7996429414,NA,23066632.703704353
SAN CLEMENTE,SC07-079-4,SAN CLEMENTE,235225.00310400003,0,0,NA,23066632.703704353
SAN CLEMENTE,SC09-081-2d,SAN CLEMENTE,1057827.257856,0,0,NA,23066632.703704353
DANA POINT,SC10-075-1d (M00P05),DANA POINT,167116.52437688655,1,167116.52437688655,NA,4041123.28077577
DANA POINT,SC10-075-1d (M00P05),SAN CLEMENTE,6114.485905916491,1,6114.485905916491,NA,23066632.703704353
DANA POINT,SC10-075-3 (M00S01),DANA POINT,3122681.928076587,0.77,2404465.084618972,NA,4041123.28077577
DANA POINT,SC10-075-3 (M00S01),SAN CLEMENTE,3122690.2319234116,0.77,2404471.478581027,NA,23066632.703704353
DANA POINT,SC11-026-1 (M00P01),DANA POINT,876731.3899947535,0.75,657548.5424960651,NA,4041123.28077577
DANA POINT,SC11-026-1 (M00P01),SAN CLEMENTE,409837.29434728704,0.75,307377.97076046525,NA,23066632.703704353
DANA POINT,SC11-026-1 (M00P01),SAN JUAN CAPISTRANO,20836.114389777027,0.75,15627.085792332771,NA,17426169.430142604
SAN CLEMENTE,SC12-068-2,SAN CLEMENTE,526953.2759999998,0,0,NA,23066632.703704353
SAN CLEMENTE,SM01-086-1 (M03P01),ORANGE CO,70342.49031619009,0.77,54163.717543466366,NA,55316727.45998856
SAN CLEMENTE,SM01-086-1 (M03P01),SAN CLEMENTE,401114.7995098139,0.77,308858.3956225567,NA,23066632.703704353
SAN CLEMENTE,SM01-086-2,ORANGE CO,32678.215362633713,0.77,25162.22582922796,NA,55316727.45998856
SAN CLEMENTE,SM01-086-2,SAN CLEMENTE,314286.90462348773,0.77,242000.91656008552,NA,23066632.703704353
DANA POINT,DP01-12022-1,DANA POINT,0,0,0,NA,4041123.28077577
DANA POINT,DP01-12022-2,DANA POINT,0,0,0,NA,4041123.28077577
LAGUNA BEACH,I01-11015-2,LAGUNA BEACH,0,0.385,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11015-2,ORANGE CO,0,0.385,0,NA,55316727.45998856
LAGUNA BEACH,I01-11015-3,LAGUNA BEACH,0,0.385,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11015-3,ORANGE CO,0,0.385,0,NA,55316727.45998856
LAGUNA BEACH,I01-11023-3,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11023-3,ORANGE CO,0,0,0,NA,55316727.45998856
LAGUNA BEACH,I01-11023-4,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11023-5,LAGUNA BEACH,0,0.385,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11023-5,ORANGE CO,0,0.385,0,NA,55316727.45998856
LAGUNA BEACH,I01-11059-2,LAGUNA BEACH,0,0.385,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11059-3,LAGUNA BEACH,0,0.385,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11065-1,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11077-1,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11077-1,ORANGE CO,0,0,0,NA,55316727.45998856
LAGUNA BEACH,I01-11077-2,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11077-2,ORANGE CO,0,0,0,NA,55316727.45998856
LAGUNA BEACH,I01-11093-1,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11093-1,ORANGE CO,0,0,0,NA,55316727.45998856
LAGUNA BEACH,I01-11093-2,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11093-2,ORANGE CO,0,0,0,NA,55316727.45998856
LAGUNA BEACH,I01-11487-1,ALISO VIEJO,0,0,0,NA,7421844.377621106
LAGUNA BEACH,I01-11487-1,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
LAGUNA BEACH,I01-11487-1,LAGUNA WOODS,0,0,0,NA,2554759.0466204807
LAGUNA BEACH,I01-11487-1,ORANGE CO,0,0,0,NA,55316727.45998856
ALISO VIEJO,I01-11503-3,ALISO VIEJO,0,0.5,0,NA,7421844.377621106
LAKE FOREST,J01-10006-1,LAKE FOREST,0,0.25,0,NA,6821314.153797195
MISSION VIEJO,J01-10012-3,MISSION VIEJO,0,0.77,0,NA,31892100.351538483
MISSION VIEJO,J01-10012-3,ORANGE CO,0,0.77,0,NA,55316727.45998856
MISSION VIEJO,J01-10012-3,RANCHO SANTA MARGARITA,0,0.77,0,NA,33350804.219124522
LAKE FOREST,J01-9033-1,LAKE FOREST,0,0.385,0,NA,6821314.153797195
LAKE FOREST,J01-9033-1,ORANGE CO,0,0.385,0,NA,55316727.45998856
LAKE FOREST,J01-9046-2,LAKE FOREST,0,0.375,0,NA,6821314.153797195
LAKE FOREST,J01-9046-2,MISSION VIEJO,0,0.375,0,NA,31892100.351538483
ALISO VIEJO,J01-9082-3,ALISO VIEJO,0,0.77,0,NA,7421844.377621106
ALISO VIEJO,J01-9082-3,ORANGE CO,0,0.77,0,NA,55316727.45998856
LAKE FOREST,J01-9275-1,LAKE FOREST,0,0.385,0,NA,6821314.153797195
LAKE FOREST,J01-9275-1,MISSION VIEJO,0,0.385,0,NA,31892100.351538483
LAKE FOREST,J01-9275-2,LAKE FOREST,0,0,0,NA,6821314.153797195
LAKE FOREST,J01-9275-2,MISSION VIEJO,0,0,0,NA,31892100.351538483
ORANGE CO,J01-9364-3 (J01P21),ALISO VIEJO,0,1,0,NA,7421844.377621106
ORANGE CO,J01-9364-3 (J01P21),LAGUNA NIGUEL,0,1,0,NA,99629956.0207097
ORANGE CO,J01-9364-3 (J01P21),ORANGE CO,0,1,0,NA,55316727.45998856
ORANGE CO,J01-9364-4,ALISO VIEJO,0,0.77,0,NA,7421844.377621106
ORANGE CO,J01-9364-4,ORANGE CO,0,0.77,0,NA,55316727.45998856
LAKE FOREST,J01-9377-2 (J01TBN8),LAKE FOREST,0,0,0,NA,6821314.153797195
LAKE FOREST,J01-9377-2 (J01TBN8),MISSION VIEJO,0,0,0,NA,31892100.351538483
LAGUNA HILLS,J05-9255-1 (J05P01),LAGUNA HILLS,0,0.77,0,NA,16673824.852583786
LAGUNA HILLS,J05-9271-6,LAGUNA HILLS,0,0.385,0,NA,16673824.852583786
LAGUNA HILLS,J05-9800-2,LAGUNA HILLS,0,0.75,0,NA,16673824.852583786
MISSION VIEJO,J07-9110-3,MISSION VIEJO,0,0.885,0,NA,31892100.351538483
LAGUNA NIGUEL,K01-12156-3,LAGUNA NIGUEL,0,0.77,0,NA,99629956.0207097
ORANGE CO,L01-303-4,ORANGE CO,0,0.885,0,NA,55316727.45998856
ORANGE CO,L01-303-4,RANCHO SANTA MARGARITA,0,0.885,0,NA,33350804.219124522
ORANGE CO,L01-391-1,ORANGE CO,0,0.75,0,NA,55316727.45998856
ORANGE CO,L01-399-1,ORANGE CO,0,0.77,0,NA,55316727.45998856
ORANGE CO,L01-414-2,ORANGE CO,0,0.77,0,NA,55316727.45998856
SAN JUAN CAPISTRANO,L01-517-1,ORANGE CO,0,0.385,0,NA,55316727.45998856
SAN JUAN CAPISTRANO,L01-517-1,SAN JUAN CAPISTRANO,0,0.385,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-517-2,ORANGE CO,0,0.77,0,NA,55316727.45998856
SAN JUAN CAPISTRANO,L01-517-2,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
ORANGE CO,L01-517-7,ORANGE CO,0,0.77,0,NA,55316727.45998856
SAN JUAN CAPISTRANO,L01-517-8,ORANGE CO,0,0.385,0,NA,55316727.45998856
SAN JUAN CAPISTRANO,L01-517-8,SAN JUAN CAPISTRANO,0,0.385,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-556-1,SAN JUAN CAPISTRANO,0,0,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-601-1,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-618-3,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-618-4,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-724-2,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
DANA POINT,L01-726-2,DANA POINT,0,0.5,0,NA,4041123.28077577
DANA POINT,L01-726-3,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
DANA POINT,L01-726-6,DANA POINT,0,0.5,0,NA,4041123.28077577
DANA POINT,L01-726-6,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
DANA POINT,L01-726-7,SAN JUAN CAPISTRANO,0,1,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-726-8,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-726-9,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
DANA POINT,L01-727-2,DANA POINT,0,0,0,NA,4041123.28077577
DANA POINT,L01-727-3,DANA POINT,0,0.25,0,NA,4041123.28077577
DANA POINT,L01-728-6,DANA POINT,0,0,0,NA,4041123.28077577
DANA POINT,L01-728-8d,DANA POINT,0,0.385,0,NA,4041123.28077577
DANA POINT,L01-728-9,DANA POINT,0,0,0,NA,4041123.28077577
ORANGE CO,L01-733-4,ORANGE CO,0,0.385,0,NA,55316727.45998856
ORANGE CO,L01-733-5,ORANGE CO,0,0.885,0,NA,55316727.45998856
SAN JUAN CAPISTRANO,L01-748-1,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-748-2,SAN JUAN CAPISTRANO,0,0.885,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-749-3,SAN JUAN CAPISTRANO,0,0.385,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-766-5,SAN JUAN CAPISTRANO,0,1,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L01-766-8,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
ORANGE CO,L02-344-1,ORANGE CO,0,0.385,0,NA,55316727.45998856
ORANGE CO,L02-344-1,RANCHO SANTA MARGARITA,0,0.385,0,NA,33350804.219124522
ORANGE CO,L02-374-2 (MVL02P20),MISSION VIEJO,0,0.77,0,NA,31892100.351538483
ORANGE CO,L02-401-1,MISSION VIEJO,0,1,0,NA,31892100.351538483
ORANGE CO,L02-401-1,ORANGE CO,0,1,0,NA,55316727.45998856
SAN JUAN CAPISTRANO,L02-502-5,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L02-541-2,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L02-541-7,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L02-571-1,SAN JUAN CAPISTRANO,0,0.5,0,NA,17426169.430142604
RANCHO SANTA MARGARITA,L02-622-1 (L02P28),RANCHO SANTA MARGARITA,0,0.77,0,NA,33350804.219124522
SAN JUAN CAPISTRANO,L03-455-3 (L03P37),LAGUNA NIGUEL,0,0,0,NA,99629956.0207097
SAN JUAN CAPISTRANO,L03-455-3 (L03P37),MISSION VIEJO,0,0,0,NA,31892100.351538483
SAN JUAN CAPISTRANO,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,0,0,0,NA,17426169.430142604
LAGUNA NIGUEL,L03-455-6,LAGUNA NIGUEL,0,0,0,NA,99629956.0207097
LAGUNA NIGUEL,L03-455-6,MISSION VIEJO,0,0,0,NA,31892100.351538483
LAGUNA NIGUEL,L03-455-6,SAN JUAN CAPISTRANO,0,0,0,NA,17426169.430142604
SAN JUAN CAPISTRANO,L03-497-1,LAGUNA NIGUEL,0,0.77,0,NA,99629956.0207097
SAN JUAN CAPISTRANO,L03-497-1,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
LAGUNA NIGUEL,L03-708-5,LAGUNA NIGUEL,0,0,0,NA,99629956.0207097
LAGUNA NIGUEL,L03-708-5,MISSION VIEJO,0,0,0,NA,31892100.351538483
MISSION VIEJO,L04-702-4,LAGUNA HILLS,0,0,0,NA,16673824.852583786
MISSION VIEJO,L04-702-4,MISSION VIEJO,0,0,0,NA,31892100.351538483
LAGUNA BEACH,LC02-11508-3,LAGUNA BEACH,0,0.385,0,NA,1899568.6488852124
LAGUNA BEACH,LC02-11508-3,ORANGE CO,0,0.385,0,NA,55316727.45998856
LAGUNA BEACH,LC05-11017-1,LAGUNA BEACH,0,0,0,NA,1899568.6488852124
SAN CLEMENTE,M00.1-070-4,SAN CLEMENTE,0,0.77,0,NA,23066632.703704353
SAN CLEMENTE,M00.1-070-6,SAN CLEMENTE,0,0.77,0,NA,23066632.703704353
ORANGE CO,M01-002-1,ORANGE CO,0,0.77,0,NA,55316727.45998856
ORANGE CO,M01-003-1,ORANGE CO,0,0.77,0,NA,55316727.45998856
ORANGE CO,M01-003-1,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
ORANGE CO,M01-003-2,ORANGE CO,0,0.77,0,NA,55316727.45998856
ORANGE CO,M01-003-2,SAN JUAN CAPISTRANO,0,0.77,0,NA,17426169.430142604
SAN CLEMENTE,M01-050-7,SAN CLEMENTE,0,0.5,0,NA,23066632.703704353
DANA POINT,M01-168-1d (M00P03),DANA POINT,0,0.77,0,NA,4041123.28077577
SAN CLEMENTE,M02-061-5,SAN CLEMENTE,0,0.385,0,NA,23066632.703704353
SAN CLEMENTE,SC03-067-1,SAN CLEMENTE,0,0,0,NA,23066632.703704353
SAN CLEMENTE,SC05-073-1,SAN CLEMENTE,0,0,0,NA,23066632.703704353
SAN CLEMENTE,SC07-079-5,SAN CLEMENTE,0,0.59,0,NA,23066632.703704353
DANA POINT,SC11-035-1d,DANA POINT,0,0.385,0,NA,4041123.28077577
DANA POINT,SC11-035-2d,DANA POINT,0,0.385,0,NA,4041123.28077577
DANA POINT,SC11-035-3d,DANA POINT,0,0.385,0,NA,4041123.28077577
DANA POINT,SC11-130-2,DANA POINT,0,0.385,0,NA,4041123.28077577
SAN CLEMENTE,SC12-068-4,SAN CLEMENTE,0,0.385,0,NA,23066632.703704353
