FacilityID,QInscfs
L02-166-2 (L02P25),0.116865
L03-708-9,0.020999999999999998
DP06-12106-1,0.04078951
M01-124-4,0.0025
SC01-077-2,0.014
J01-9066-2 (J01P03),0.066
L01-766-8,0
L01-727-3,0
L03-172-2,0.021413804999999998
L01-340-1,0.0786
DP01-12022-2,0
I01-11077-1,0
J07-9022-6,0.00184023
L01-733-4,0
K01-12155-1,0
L03-455-3 (L03P37),0
L03-693-1 (L03P11),0.033
SC09-081-2d,0.04207344
M02-052-3,0.001
K01-12032-2 (K01P11),0.04943897
L01-517-6,0.011108
J07-9110-2,0.001
J01-9992-1 (J01P27),0.035489325
SC11-130-2,0
I01-11015-3,0
I01-11059-3,0
L01-618-5 (L01S09),0.059800000000000006
L01-303-4,0
M01-042-1 (M01S01),0.029742440000000002
J01-9082-2,0.062
L01-726-6,0
L01-391-3,0.0032500000000000003
J01-9275-1,0
J07-9109-4 (J07P02),0.031066666666666666
L03-708-11 (L03P05),0.022
M00.1-071-4 (M00S04),0.020699999999999996
M02-061-5,0
L01-404-1,0.447882495
L01-517-1,0
M01-050-7,0
L05-489-3,0.9673158299999998
I01-11059-1,0.010349999999999998
M02-061-4 (SCBS@M02),0.03498715
J01-9005-1 (J03P05),0.017205489999999997
J03-9216-2,0.5875161566666667
SC11-035-3d,0
I01-11077-2,0
L02-198-1 (L02P29),0.001911145
L01-727-2,0
L04-136-1u (L04P07),0.5684413199999999
L03-662-1,0.003
M01-124-2,0.004
L03-240-1 (L03P14),0.021
J03-9221-1 (J03P02),0.0928475
L05-049-1,0.0655
L01-726-3,0
I01-11023-3,0
L02-374-2 (MVL02P20),0
L03-455-5,0.002
J01-9082-4,0.006
L02-166-3 (L02P26),0.0335
L02-344-1,0
L03-316-3 (L03P12),0.083
L05-489-3d,0.95957127
L01-748-1,0
L02-622-1 (L02P28),0
L01-733-7,0.027391275
I01-11093-1,0
L01-728-2,3.1532999999999995e-4
L03-662-3 (L03P16),0.076
SC03-067-1,0
L04-266-5,0.5863043849999999
L01-733-5,0
L05-489-7,0.023
L01-728-6,0
SC12-068-2,0.020958749999999998
M01-047-1,0.6814419299999999
L04-672-1,0.05546999999999999
L04-702-4,0
L02-641-2,0.067
L01-223-1 (L08TBN1),0.018
J01-9782-1 (J01TBN3),0.0036797699999999997
J01-9785-1,0.16655150999999999
L03-241-3,0.250684935
M00.1-071-2 (M00S04),0.006
J01-9275-2,0
J03-9234-8,0.081363865
L01-494-1,0.047
L01-724-1 (L01S01),0.023
I01-11059-2,0
L05-489-4,0.33119999999999994
L01-726-9,0
L01-726-8,0
J01-9008-1 (J01P30),0.0430875
L02-571-5 (L02TBN2),0.44042561999999996
SC06-146-1 (M00P02),0.02734746
J01-9033-1,0
L02-541-2,0
L02-502-1,0.01666626
L03-418-1,0.005
L03-708-5,0
L03-455-2,0.002
J01-9040-1,0.0276
M01-060-3,0.47751139499999995
L02-641-1,0.0125
J03-9234-6,0.050986615
J06-10011-1 (J06P01),0.5413049999999999
J01-9224-2 (J01P25),0.03233333333333333
SC11-026-1 (M00P01),0.052000000000000005
J01-9046-1,6.9e-4
LC02-11508-3,0
L01-514-1,0.002
L01-728-8d,0
L01-727-1 (L01S04),0
L01-303-5,0.00764558
L01-728-9,0
SC10-075-1d (M00P05),0.0068899949999999995
I01-11015-2,0
K01-12036-5,0.022444255
K01-12156-6,0.121
L01-335-1,0.016026224999999998
L01-618-1,0.004
L01-766-2 (L01S06),0.21340182
L03-074-2,0.051174884999999996
L03-214-2 (L03P18),0.613
SC05-073-1,0
K01-12159-2,0.0785
L01-335-2,0.007
M02-085-1 (M02P06),0.014
L02-571-1,0
J01-9007-1 (J02P05),0.0075
I01-11021-1,0.062099999999999995
J01-9144-1 (J01P23),0.002
L02-541-7,0
L02-374-1 (L02P50),0.42105
I01-11487-1,0
M00.1-071-3 (M00S04),0.013000000000000001
M00.2-066-1 (M00S07),0.00559452
LC05-11017-2,0.006
J06-9079-1 (J06P03),0.027
L02-396-1,0.011828669999999998
I01-11093-2,0
L01-556-1,0
M02-061-6,0.001
K01-12126-1 (K01S01),0.232585665
L03-074-1 (L03B01),0.026500000000000003
K01-12036-1,0.002
L01-766-4,0.06435215999999999
L03-241-4,0.00305802
L02-246-1 (L11P01),0.024292175
J01-9066-1 (J01P04),0.002
M01-099-1,0.054461045
I01-11023-4,0
LC06-11019-1,0.004
L03-418-8,0.11980062500000001
L01-731-1 (L08TBN2),0.007
L03-316-2,0.0025
LC04-11199-1,0.02
L03-455-6,0
M01-124-5,0.036500000000000005
LC01-11446-1,0.01805
SC11-035-1d,0
J01-9377-1,0
J01-10017-1 (J01TBN4),0.001
SC06-146-2 (M00P02),0.043403069999999995
LC02-11508-2,0.005
L02-571-3,0.024930734999999996
I01-11023-5,0
L01-766-3,0.14042121
I01-11065-1,0
LC06-11509-2,0.009
L02-502-2,0.020699999999999996
L01-760-1,0.007
J01-9046-2,0.006209999999999999
L01-760-2,0.023
J01-10004-1 (J01P01),0.102583335
L01-726-5,0.013
M02-032-1,0.09429578999999999
L01-728-3 (L01S02),0.200065155
L01-766-7,1.8146999999999998e-4
DP01-12022-1,0
K01-12036-10,0.004883225
I01-11010-1,0.005
LC05-11017-1,0
SC07-079-4,0.00935571
L01-728-5 (L01-DP),0.0040964999999999994
L03-708-13,0.0115
K01-12159-3,0.0325
L01-404-2,0.11249999999999999
M02-085-2,0.09770976333333332
J03-9368-2 (J03TBN2),0.039
J01-9273-1,0.002
L01-724-4 (L01P03),0.0655
L02-541-6,0.004484999999999999
I00-11453-1,0.00956754
K01-12177-1 (K01P07),0.086
L01-471-1,0.00530535
L03-141-1,0.036973305
DP01-12020-1,0
J01-9377-2 (J01TBN8),0
SC11-035-2d,0
M01-038-3,0.004
L05-503-1,0.10142999999999999
I00-11437-1,0.087425
M01-050-4,0.028999999999999998
L03-455-7,0.005
J03-9215-3,0.010499999999999999
L01-747-2,0.0035286599999999994
L03-316-1,0.002
L03-418-2,0.008425589999999998
LC06-11019-2,0.001
I01-11487-2,0.00414
I01-11023-2,4.484999999999999e-6
J07-9022-1,0.00119
L01-517-8,0
L01-261-1,0.001
L03-316-4,8.104049999999999e-4
J01-9224-1 (J01P24),0.0035
L01-517-2,0
J01-9082-3,0
L01-218-4,0.06848802
M01-008-1,0
J05-9271-6,0
L01-517-7,0
SC12-068-4,0
LC03-11515-1,0
L01-414-2,0
L02-204-1 (L02P45),0.005
L02-502-5,0
J01-10012-3,0
SC07-079-5,0
