Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Lake Forest,Verified,1,J01-9046-2,0.094019,12/18/2023,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,Yes,NA,Overgrown,33.6544559,-117.6596746
Lake Forest,Verified,2,J01-9046-2,0.094019,12/19/2023,NA,Other - See Comments,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Recent flow from storm,Sparse (<10 Items),In flow path of outfall,NA,Yes,NA,Overgrown,33.6544559,-117.6596746
Lake Forest,Verified,2,J01-9046-2,0.094019,12/20/2023,Small Fraction (<10%),Flowing,Unknown,Direct Connection,NA,Not A Priority,NA,367,0.018,NA,Below Average Discharge,Not present,Not present,Bact sample collected,Sparse (<10 Items),In flow path of outfall,NA,Yes,NA,Overgrown,33.6544559,-117.6596746
Lake Forest,Verified,1,J01-9264-1 (J01P06),0,3/4/2024,Minor Fraction (10 - 50%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,1358,NA,NA,Equal,Not present,Not present,Unmeasurable amount of sediment sloped below sensor,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Sediment,33.6634603,-117.6540564
Lake Forest,Verified,1,J01-9046-1,0.00431,3/4/2024,Small Fraction (<10%),Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,0,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.6545286,-117.6597856
Lake Forest,Verified,1,J01-9377-1,0.001816,3/4/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Priority,22,NA,NA,0,20% Or More Above Average Discharge,Not present,Not present,Wet pipe,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,NA,NA,33.65808712,-117.6577564
Lake Forest,Verified,1,J01-9046-2,0.094019,3/4/2024,Small Fraction (<10%),Dry,Unknown,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Wet pipe,Sparse (<10 Items),Within area surrounding outfall,NA,Yes,NA,None,33.6544559,-117.6596746
Lake Forest,Verified,1,J01-10004-1 (J01P01),0.299355,3/4/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,Priority,85,NA,0.1975,0.141,Below Average Discharge,Clear,Not present,NA,Abundant (>50 Items),In flow path of outfall,Yes,NA,NA,None,33.6334064,-117.6768884
Lake Forest,Verified,1,J01-9349-1,NA,3/4/2024,Small Fraction (<10%),Dry,Unknown,Direct Connection,NA,Not A Priority,NA,NA,NA,0,NA,Clear,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,No,NA,NA,None,33.64411766,-117.6658042
Lake Forest,Verified,1,J01-9349-1,NA,4/1/2024,Small Fraction (<10%),Dry,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,0,NA,"Brown ""tea"" tint",Not present,Scour pond causing ponding at outfall. Wet pipe under sensor but no flow.,Sparse (<10 Items),Within area surrounding outfall,No,NA,NA,Other - See Comments,33.64411766,-117.6658042
Lake Forest,Verified,1,J01-9031-1,0.037166,5/15/2024,Major Fraction (>50%),Pooled or Ponded,Yes,Direct Connection,NA,Priority,50,NA,NA,NA,20% Or More Above Average Discharge,Surface scum,Surface scum,NA,Moderate (11-50 Items),In flow path of outfall,Yes,NA,NA,Clogged,33.67284325,-117.6388384
Lake Forest,Verified,1,J01-9377-1,0.001816,5/15/2024,Small Fraction (<10%),Pooled or Ponded,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Priority,22,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.65808712,-117.6577564
Lake Forest,Verified,1,J01-10004-1 (J01P01),0.299355,5/15/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,85,2150,0.16,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,NA,33.6334064,-117.6768884
Lake Forest,Verified,1,J01-9377-2 (J01TBN8),4.20E-05,5/15/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.6600133,-117.653399
Lake Forest,Verified,1,J01-10006-1,0,7/10/2024,Small Fraction (<10%),Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,0.001222,NA,NA,Equal,Not present,Not present,NA,Moderate (11-50 Items),NA,NA,NA,NA,None,33.6283627,-117.6836585
Lake Forest,Verified,1,J01-9275-1,0.002727,7/10/2024,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.64907302,-117.6613407
Lake Forest,Verified,1,J01-9275-2,0.001661,7/10/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Dried leaves,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.65086149,-117.6606345
Lake Forest,Verified,1,J01-9033-1,0.006837,7/10/2024,NA,Flowing,Yes,Undetermined,NA,Not A Priority,NA,2957,0.006,0,Below Average Discharge,Not present,Not present,Sheen in gutter. Measurements collected from upstream end of discharge point since overgrown,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.67100869,-117.6262673
Lake Forest,Verified,1,J01-9040-1,0.290204,7/10/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,Surfactants,Not A Priority,NA,1852,NA,NA,Below Average Discharge,Not present,Green tint,Suds in outfall.  Drove around neighborhood.,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.67802615,-117.623525
Lake Forest,Verified,1,J01-10006-3,0.120528,7/10/2024,NA,Pooled or Ponded,Yes,NA,NA,NA,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.62961712,-117.6802809
Lake Forest,Verified,1,J01-9031-1,0.037166,7/23/2024,Major Fraction (>50%),Pooled or Ponded,Yes,Direct Connection,NA,Priority,50,NA,NA,NA,20% Or More Above Average Discharge,Surface scum,Green tint,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.67284325,-117.6388384
Lake Forest,Verified,1,J01-9046-1,0.00431,7/23/2024,Small Fraction (<10%),Flowing,Unknown,Partial - Significant Distance,NA,Not A Priority,NA,NA,0.001,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.6545286,-117.6597856
Lake Forest,Verified,1,J01-9377-1,0.001816,7/23/2024,Small Fraction (<10%),Pooled or Ponded,Unknown,Partial - Significant Distance,Trash,Priority,22,NA,NA,0,20% Or More Above Average Discharge,Yellow tint,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.65808712,-117.6577564
Lake Forest,Verified,1,J01-9046-2,0.094019,7/23/2024,Small Fraction (<10%),Pooled or Ponded,Unknown,Partial - Significant Distance,Trash,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,Yes,NA,None,33.6544559,-117.6596746
Lake Forest,Verified,1,J01-10004-1 (J01P01),0.299355,7/23/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,85,2310,0.137343,NA,Below Average Discharge,"Brown ""tea"" tint",Chocolate milk,NA,Moderate (11-50 Items),Within area surrounding outfall,Yes,NA,NA,None,33.6334064,-117.6768884
Lake Forest,Verified,1,J01-9782-1 (J01TBN3),0.001588,7/24/2024,Small Fraction (<10%),Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,1752,0.005333,0.002,20% Or More Above Average Discharge,Yellow tint,Not present,1.2 liters in 20 seconds (0.002 cfs),Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,None,33.63275125,-117.6769095
Lake Forest,Verified,1,J01-9275-1,0.002727,9/4/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.64907302,-117.6613407
Lake Forest,Verified,1,J01-9046-3,0.004993,9/4/2024,NA,NA,Yes,NA,NA,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,Outfall inaccessible due to overgrown vegetation,NA,NA,NA,NA,NA,Overgrown,33.65613772,-117.659406
Lake Forest,Verified,1,J01-9785-1,0.027279,9/4/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,1227,NA,NA,20% Or More Above Average Discharge,Not present,Not present,"Not enough flow for velocity and volumetric measurements, difficult to access due to metal grate",Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.61715691,-117.6936529
Lake Forest,Verified,1,J01-9275-2,0.001661,9/4/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Trash,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.65086149,-117.6606345
Lake Forest,Verified,1,J01-9264-1 (J01P06),0,9/4/2024,Major Fraction (>50%),Pooled or Ponded,Yes,Direct Connection,Oil sheen,Not A Priority,NA,NA,NA,NA,Equal,Yellow tint,Not present,"Peculiar floating patches, sheen, and chemical odor at J01-9264-1 (near Lake Forest Sports Park and preschool). I left a message with Devin as I suspect an ID.",Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.6634603,-117.6540564
Lake Forest,Verified,1,J01-9033-1,0.006837,9/4/2024,NA,Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,2783,0.004114,0,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.67100869,-117.6262673
Lake Forest,Verified,1,J01-9040-1,0.290204,9/4/2024,Small Fraction (<10%),Flowing,Yes,Partial - Significant Distance,NA,Not A Priority,NA,1886,0.04,NA,Below Average Discharge,Not present,Green tint,Dragonflies. Tadpoles. Flow from outfall.  Dissipator deeply ponded.  Depth of flow estimated for flow measurement.,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.67802615,-117.623525
Lake Forest,Verified,1,J01-9377-2 (J01TBN8),4.20E-05,9/4/2024,NA,NA,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Too little flow for floating leaf/conductivity,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.6600133,-117.653399
Lake Forest,Verified,1,J01-9349-1,NA,9/4/2024,Small Fraction (<10%),Pooled or Ponded,Unknown,Direct Connection,Trash,Not A Priority,NA,1231,NA,NA,NA,Not present,Not present,"Possible ponded due to clog, smelled",Sparse (<10 Items),Within area surrounding outfall,No,NA,NA,Clogged,33.64411766,-117.6658042
Lake Forest,Verified,1,J01-10006-1,0,9/10/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Partial - Significant Distance,Trash,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Odor at outfall,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,None,33.6283627,-117.6836585
Lake Forest,Verified,1,J01-9782-1 (J01TBN3),0.001588,9/10/2024,Small Fraction (<10%),Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,Trash,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Clear,Clear,Outfall has moisture inside pipe,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.63275125,-117.6769095
Lake Forest,Verified,1,J01-9785-1,0.027279,9/10/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,1203,0.241379,NA,20% Or More Above Average Discharge,Not present,Not present,"Lot of leaf debris, palm tree stump in front of outfall.",Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.61715691,-117.6936529
