"","AvgDischarge","FacilityID","FlowCondition","ObsRecordDate","PersistentFlow","FlowConnectivity","Priority","PrioritizationScore2022","FloatDischargeCFS","VolumeDischargeCFS","PointY","PointX","JURISDICTI2","Acres","AREA","PERCENTAGE","area_acres","JURISDICTI"
"1",0.051357,"L01-340-1","Flowing",2021-07-15,"Yes",NA,"Priority",39,0.012,NA,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"2",0.051357,"L01-340-1","Flowing",2021-07-15,"Yes",NA,"Priority",39,0.012,NA,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"3",0.051357,"L01-340-1","Flowing",2023-06-27,"Yes","Unsafe to Access","Priority",39,0.026406,NA,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"4",0.051357,"L01-340-1","Flowing",2023-06-27,"Yes","Unsafe to Access","Priority",39,0.026406,NA,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"5",0.051357,"L01-340-1","Flowing",2021-08-17,"Yes","Undetermined","Priority",39,0.03825,NA,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"6",0.051357,"L01-340-1","Flowing",2021-08-17,"Yes","Undetermined","Priority",39,0.03825,NA,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"7",0.051357,"L01-340-1","Flowing",2021-05-26,"Yes","Undetermined","Priority",39,0.150862,NA,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"8",0.051357,"L01-340-1","Flowing",2021-05-26,"Yes","Undetermined","Priority",39,0.150862,NA,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"9",0.051357,"L01-340-1","Flowing",2021-08-03,"Yes","Undetermined","Priority",39,0.036,0.025,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"10",0.051357,"L01-340-1","Flowing",2021-08-03,"Yes","Undetermined","Priority",39,0.036,0.025,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"11",0.051357,"L01-340-1","Flowing",2020-12-18,"Yes","Undetermined","Priority",39,0.033,NA,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"12",0.051357,"L01-340-1","Flowing",2020-12-18,"Yes","Undetermined","Priority",39,0.033,NA,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"13",0.051357,"L01-340-1","Flowing",2021-07-19,"Yes","Undetermined","Priority",39,0.014571,NA,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"14",0.051357,"L01-340-1","Flowing",2021-07-19,"Yes","Undetermined","Priority",39,0.014571,NA,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"15",0.051357,"L01-340-1","Flowing",2022-08-24,"Yes","Undetermined","Priority",39,0.001809,NA,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"16",0.051357,"L01-340-1","Flowing",2022-08-24,"Yes","Undetermined","Priority",39,0.001809,NA,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"17",0.051357,"L01-340-1","Flowing",2021-08-11,"Yes","Undetermined","Priority",39,0.108,NA,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"18",0.051357,"L01-340-1","Flowing",2021-08-11,"Yes","Undetermined","Priority",39,0.108,NA,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"19",0.051357,"L01-340-1","Flowing",2023-08-15,"Yes","Direct Connection","Priority",39,0.048,0.016,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"20",0.051357,"L01-340-1","Flowing",2023-08-15,"Yes","Direct Connection","Priority",39,0.048,0.016,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"21",0.051357,"L01-340-1","Flowing",2021-08-02,"Yes","Undetermined","Priority",39,0.048,NA,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"22",0.051357,"L01-340-1","Flowing",2021-08-02,"Yes","Undetermined","Priority",39,0.048,NA,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"23",0.051357,"L01-340-1","Flowing",2022-06-16,"Yes","Undetermined","Priority",39,0.017829,0.008,33.58696205,-117.59544022,"ORANGE CO",284.5322921,167.4151527,98.78639742,169.47171779,"ORANGE CO"
"24",0.051357,"L01-340-1","Flowing",2022-06-16,"Yes","Undetermined","Priority",39,0.017829,0.008,33.58696205,-117.59544022,"RANCHO SANTA MARGARITA",2.056714849,2.05671495,1.213602575,169.47171779,"ORANGE CO"
"25",0,"L01-733-4","Dry",2022-09-19,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.62235401,-117.57672575,"ORANGE CO",86.14627093,50.68736133,100,50.68731652,"ORANGE CO"
"26",0,"L01-733-4","Dry",2023-05-31,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.62235401,-117.57672575,"ORANGE CO",86.14627093,50.68736133,100,50.68731652,"ORANGE CO"
"27",0,"L01-733-4","Dry",2023-08-15,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.62235401,-117.57672575,"ORANGE CO",86.14627093,50.68736133,100,50.68731652,"ORANGE CO"
"28",0,"L01-733-4","Dry",2022-08-01,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.62235401,-117.57672575,"ORANGE CO",86.14627093,50.68736133,100,50.68731652,"ORANGE CO"
"29",0.408144,"L02-344-2","Pooled or Ponded",2023-08-17,"Yes",NA,NA,NA,NA,NA,33.59189214,-117.62860278,NA,NA,NA,NA,NA,"ORANGE CO"
"30",0.408144,"L02-344-2","Pooled or Ponded",2023-06-01,"Yes","Unsafe to Access",NA,NA,NA,NA,33.59189214,-117.62860278,NA,NA,NA,NA,NA,"ORANGE CO"
"31",0.408144,"L02-344-2","Pooled or Ponded",2022-07-26,"Yes","Undetermined",NA,NA,NA,NA,33.59189214,-117.62860278,NA,NA,NA,NA,NA,"ORANGE CO"
"32",0.408144,"L02-344-2","Flowing",2021-05-03,"Yes","Undetermined",NA,NA,0.42,NA,33.59189214,-117.62860278,NA,NA,NA,NA,NA,"ORANGE CO"
"33",0.408144,"L02-344-2","Flowing",2022-09-19,"Yes","Undetermined",NA,NA,0.06,NA,33.59189214,-117.62860278,NA,NA,NA,NA,NA,"ORANGE CO"
"34",0.02934,"L01-517-6","Flowing",2021-08-12,"Unknown","Undetermined",NA,NA,0.06,NA,33.52411358,-117.61898895,"ORANGE CO",23.5456927,13.85398371,100,13.85397146,"ORANGE CO"
"35",0.02934,"L01-517-6","Other - See Comments",2023-08-14,"Unknown",NA,NA,NA,NA,NA,33.52411358,-117.61898895,"ORANGE CO",23.5456927,13.85398371,100,13.85397146,"ORANGE CO"
"36",0.02934,"L01-517-6",NA,2023-05-30,"Unknown","Undetermined",NA,NA,NA,NA,33.52411358,-117.61898895,"ORANGE CO",23.5456927,13.85398371,100,13.85397146,"ORANGE CO"
"37",0.02934,"L01-517-6","Flowing",2021-05-03,"Unknown","Direct Connection",NA,NA,0.036,NA,33.52411358,-117.61898895,"ORANGE CO",23.5456927,13.85398371,100,13.85397146,"ORANGE CO"
"38",0.02934,"L01-517-6","Flowing",2022-09-27,"Unknown","Undetermined",NA,NA,0.009,0.007,33.52411358,-117.61898895,"ORANGE CO",23.5456927,13.85398371,100,13.85397146,"ORANGE CO"
"39",0.02934,"L01-517-6","Flowing",2022-05-31,"Unknown","Undetermined",NA,NA,0.03,NA,33.52411358,-117.61898895,"ORANGE CO",23.5456927,13.85398371,100,13.85397146,"ORANGE CO"
"40",0.020775,"L01-303-4",NA,2023-08-15,"Unknown",NA,"Priority",47,NA,NA,33.596022,-117.584659,NA,NA,NA,NA,NA,"ORANGE CO"
"41",0.020775,"L01-303-4","Flowing",2021-08-16,"Unknown","Partial - Significant Distance","Priority",47,0.005854,0.001,33.596022,-117.584659,NA,NA,NA,NA,NA,"ORANGE CO"
"42",0.020775,"L01-303-4","Other - See Comments",2023-05-31,"Unknown",NA,"Priority",47,NA,NA,33.596022,-117.584659,NA,NA,NA,NA,NA,"ORANGE CO"
"43",0.020775,"L01-303-4","Flowing",2021-05-03,"Unknown","Direct Connection","Priority",47,0.0021,NA,33.596022,-117.584659,NA,NA,NA,NA,NA,"ORANGE CO"
"44",0.020775,"L01-303-4","Flowing",2022-09-26,"Unknown","Direct Connection","Priority",47,0.018,NA,33.596022,-117.584659,NA,NA,NA,NA,NA,"ORANGE CO"
"45",0.020775,"L01-303-4","Flowing",2022-08-01,"Unknown","Direct Connection","Priority",47,0.068571,0.019,33.596022,-117.584659,NA,NA,NA,NA,NA,"ORANGE CO"
"46",0.020775,"L01-303-4","Flowing",2022-08-01,"Unknown","Direct Connection","Priority",47,0.068571,0.019,33.596022,-117.584659,NA,NA,NA,NA,NA,"ORANGE CO"
"47",0.07,"L01-303-2","Pooled or Ponded",2021-08-16,"Yes","Direct Connection","Priority",48,NA,NA,33.59293399,-117.58507153,NA,NA,NA,NA,NA,"ORANGE CO"
"48",0.07,"L01-303-2","Pooled or Ponded",2022-08-08,"Yes","Direct Connection","Priority",48,NA,NA,33.59293399,-117.58507153,NA,NA,NA,NA,NA,"ORANGE CO"
"49",0.07,"L01-303-2","Pooled or Ponded",2022-09-19,"Yes","Direct Connection","Priority",48,NA,NA,33.59293399,-117.58507153,NA,NA,NA,NA,NA,"ORANGE CO"
"50",0.07,"L01-303-2",NA,2023-08-15,"Yes",NA,"Priority",48,NA,NA,33.59293399,-117.58507153,NA,NA,NA,NA,NA,"ORANGE CO"
"51",0.07,"L01-303-2","Pooled or Ponded",2021-05-03,"Yes","Direct Connection","Priority",48,NA,NA,33.59293399,-117.58507153,NA,NA,NA,NA,NA,"ORANGE CO"
"52",0.07,"L01-303-2","Pooled or Ponded",2023-05-31,"Yes","Direct Connection","Priority",48,NA,NA,33.59293399,-117.58507153,NA,NA,NA,NA,NA,"ORANGE CO"
"53",0.012479,"L01-391-3","Flowing",2021-05-03,"Unknown","Direct Connection","Not A Priority",NA,0.006,NA,33.57839188,-117.58682518,"ORANGE CO",145.3267646,85.50840504,100,85.50832944,"ORANGE CO"
"54",0.012479,"L01-391-3","Pooled or Ponded",2023-05-31,"Unknown","Direct Connection","Not A Priority",NA,NA,NA,33.57839188,-117.58682518,"ORANGE CO",145.3267646,85.50840504,100,85.50832944,"ORANGE CO"
"55",0.012479,"L01-391-3","Flowing",2022-09-19,"Unknown","Direct Connection","Not A Priority",NA,0.03,NA,33.57839188,-117.58682518,"ORANGE CO",145.3267646,85.50840504,100,85.50832944,"ORANGE CO"
"56",0.012479,"L01-391-3","Flowing",2021-08-16,"Unknown","Direct Connection","Not A Priority",NA,0.00225,NA,33.57839188,-117.58682518,"ORANGE CO",145.3267646,85.50840504,100,85.50832944,"ORANGE CO"
"57",0.012479,"L01-391-3","Other - See Comments",2023-08-15,"Unknown",NA,"Not A Priority",NA,NA,NA,33.57839188,-117.58682518,"ORANGE CO",145.3267646,85.50840504,100,85.50832944,"ORANGE CO"
"58",0.012479,"L01-391-3","Flowing",2022-08-01,"Unknown","Direct Connection","Not A Priority",NA,0.011667,NA,33.57839188,-117.58682518,"ORANGE CO",145.3267646,85.50840504,100,85.50832944,"ORANGE CO"
"59",0.0852,"L01-404-1","Flowing",2023-08-15,"Yes","Undetermined","Priority",60,0.092647,0.048,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"60",0.0852,"L01-404-1","Flowing",2021-08-17,"Yes","Undetermined","Priority",60,0.063771,NA,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"61",0.0852,"L01-404-1","Flowing",2022-06-16,"Yes","Undetermined","Priority",60,0.063,0.025,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"62",0.0852,"L01-404-1","Flowing",2021-05-26,"Yes","Undetermined","Priority",60,0.157143,NA,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"63",0.0852,"L01-404-1","Flowing",2021-08-03,"Yes","Undetermined","Priority",60,0.162,0.027,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"64",0.0852,"L01-404-1","Flowing",2021-08-02,"Yes","Undetermined","Priority",60,0.162,NA,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"65",0.0852,"L01-404-1","Flowing",2021-08-11,"Yes","Undetermined","Priority",60,0.1296,NA,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"66",0.0852,"L01-404-1","Flowing",2021-07-19,"Yes","Undetermined","Priority",60,0.07875,NA,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"67",0.0852,"L01-404-1","Flowing",2021-07-15,"Yes","Undetermined","Priority",60,0.144,NA,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"68",0.0852,"L01-404-1","Flowing",2023-06-27,"Yes","Undetermined","Priority",60,0.087449,0.039,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"69",0.0852,"L01-404-1","Flowing",2022-08-24,"Yes","Undetermined","Priority",60,0.084647,NA,33.56452183,-117.58584662,"ORANGE CO",404.1397577,237.7906519,100,237.79044171,"ORANGE CO"
"70",0.807645,"L05-489-3","Flowing",2022-09-06,"Yes","Direct Connection","Priority",90,0.63,NA,33.52980214,-117.6465378,"ORANGE CO",3114.401851,1832.47412,100,1832.47249969,"ORANGE CO"
"71",0.807645,"L05-489-3","Flowing",2021-09-09,"Yes","Direct Connection","Priority",90,1.008,NA,33.52980214,-117.6465378,"ORANGE CO",3114.401851,1832.47412,100,1832.47249969,"ORANGE CO"
"72",0.807645,"L05-489-3","Flowing",2023-08-16,"Yes","Direct Connection","Priority",90,1.1151,0.309,33.52980214,-117.6465378,"ORANGE CO",3114.401851,1832.47412,100,1832.47249969,"ORANGE CO"
"73",0.807645,"L05-489-3","Flowing",2022-06-16,"Yes","Direct Connection","Priority",90,1.516667,NA,33.52980214,-117.6465378,"ORANGE CO",3114.401851,1832.47412,100,1832.47249969,"ORANGE CO"
"74",0.807645,"L05-489-3","Flowing",2021-05-26,"Yes","Direct Connection","Priority",90,0.804632,NA,33.52980214,-117.6465378,"ORANGE CO",3114.401851,1832.47412,100,1832.47249969,"ORANGE CO"
"75",0.807645,"L05-489-3","Flowing",2023-06-27,"Yes","Direct Connection","Priority",90,0.59083,0.38,33.52980214,-117.6465378,"ORANGE CO",3114.401851,1832.47412,100,1832.47249969,"ORANGE CO"
"76",0.996847,"L05-049-1","Flowing",2023-06-27,"Yes","Direct Connection","Priority",65,0.213953,0.128,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"77",0.996847,"L05-049-1","Flowing",2023-08-16,"Yes","Direct Connection","Priority",65,0.220708,0.116,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"78",0.996847,"L05-049-1","Flowing",2021-10-26,"Yes","Direct Connection","Priority",65,0.2496,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"79",0.996847,"L05-049-1","Flowing",2021-09-09,"Yes","Direct Connection","Priority",65,0.053333,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"80",0.996847,"L05-049-1","Flowing",2021-05-26,"Yes","Direct Connection","Priority",65,0.158815,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"81",0.996847,"L05-049-1","Flowing",2022-09-06,"Yes","Direct Connection","Priority",65,0.6,0.163,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"82",0.996847,"L05-049-1","Flowing",2022-06-16,"Yes","Direct Connection","Priority",65,0.430769,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"83",0.996847,"L05-049-1","Flowing",2022-12-08,"Yes","Direct Connection","Priority",65,0.14,NA,33.53474971,-117.64618912,"ORANGE CO",812.8558897,478.2739839,100,478.27356101,"ORANGE CO"
"84",0.008624,"L02-374-2 (MVL02P20)","Other - See Comments",2023-08-17,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"85",0.008624,"L02-374-2 (MVL02P20)","Flowing",2021-04-29,"Unknown","Undetermined","Not A Priority",NA,0.0408,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"86",0.008624,"L02-374-2 (MVL02P20)","Flowing",2022-09-26,"Unknown","Undetermined","Not A Priority",NA,NA,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"87",0.008624,"L02-374-2 (MVL02P20)","Flowing",2022-06-17,"Unknown","Undetermined","Not A Priority",NA,0.01,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"88",0.008624,"L02-374-2 (MVL02P20)","Pooled or Ponded",2021-08-12,"Unknown",NA,"Not A Priority",NA,NA,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"89",0.008624,"L02-374-2 (MVL02P20)","Dry",2023-06-01,"Unknown","Unsafe to Access","Not A Priority",NA,NA,NA,33.57276685,-117.64558911,"MISSION VIEJO",84.33812721,84.33772952,100,84.33765496,"ORANGE CO"
"90",0,"L02-344-1","Pooled or Ponded",2022-07-26,"Unknown","Undetermined","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"91",0,"L02-344-1","Pooled or Ponded",2022-07-26,"Unknown","Undetermined","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"92",0,"L02-344-1","Pooled or Ponded",2021-05-03,"Unknown","Direct Connection","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"93",0,"L02-344-1","Pooled or Ponded",2021-05-03,"Unknown","Direct Connection","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"94",0,"L02-344-1","Dry",2023-08-17,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"95",0,"L02-344-1","Dry",2023-08-17,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"96",0,"L02-344-1","Dry",2023-06-01,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"97",0,"L02-344-1","Dry",2023-06-01,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"98",0,"L02-344-1","Dry",2022-09-19,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"ORANGE CO",301.1810326,177.2110581,99.37899245,178.3182714,"ORANGE CO"
"99",0,"L02-344-1","Dry",2022-09-19,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.59197631,-117.62868986,"RANCHO SANTA MARGARITA",1.107371133,1.107371188,0.621007707,178.3182714,"ORANGE CO"
"100",1.889189,"L05-489-3d","Flowing",2023-06-27,"Yes","Direct Connection",NA,NA,1.207154,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"101",1.889189,"L05-489-3d","Flowing",2021-09-09,"Yes","Direct Connection",NA,NA,1.43,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"102",1.889189,"L05-489-3d","Flowing",2022-09-06,"Yes","Direct Connection",NA,NA,2.053333,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"103",1.889189,"L05-489-3d","Flowing",2022-06-16,"Yes","Direct Connection",NA,NA,1.96248,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"104",1.889189,"L05-489-3d","Flowing",2023-08-16,"Yes","Direct Connection",NA,NA,0.837126,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"105",1.889189,"L05-489-3d","Flowing",2021-05-26,"Yes","Direct Connection",NA,NA,1.08,NA,33.52889781,-117.64662476,"ORANGE CO",3280.7175,1930.332115,100,1930.33211516,"ORANGE CO"
"106",0.069986,"L01-733-7","Flowing",2022-09-26,"Yes","Direct Connection",NA,NA,0.0576,NA,33.61548064,-117.58243899,NA,NA,NA,NA,NA,"ORANGE CO"
"107",0.069986,"L01-733-7","Flowing",2023-08-15,"Yes","Undetermined",NA,NA,0.016891,NA,33.61548064,-117.58243899,NA,NA,NA,NA,NA,"ORANGE CO"
