"","Station","Collected Date","HSN","Fraction","Sample Type","Composite Start Time","Composite End Time","Stormflow Volume -cf","2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L","Acenaphthene - ng/L","Acenaphthylene - ng/L","Aldrin - ng/L","Anthracene - ng/L","Azinphos Methyl - ng/L","Benz[a]anthracene - ng/L","Benzo[a]pyrene - ng/L","Benzo[b]fluoranthene - ng/L","Benzo[g,h,i]perylene - ng/L","Benzo[k]fluoranthene - ng/L","BHC-alpha - ng/L","BHC-beta - ng/L","BHC-delta - ng/L","BHC-gamma - ng/L","Biphenyl - ng/L","Bolstar (Sulprofos) - ng/L","Chlordane-alpha - ng/L","Chlordane-gamma - ng/L","Chlorpyrifos - ng/L","Chrysene - ng/L","Demeton - ng/L","Diazinon - ng/L","Dibenz[a,h]anthracene - ng/L","Dibenzothiophene - ng/L","Dichlorvos - ng/L","Dieldrin - ng/L","Dimethoate - ng/L","Disulfoton - ng/L","Endosulfan-I - ng/L","Endosulfan-II - ng/L","Endosulfan Sulfate - ng/L","Endrin - ng/L","Endrin Aldehyde - ng/L","Ethoprop (Ethoprofos) - ng/L","Ethyl Parathion - ng/L","Fenchlorphos (Ronnel) - ng/L","Fensulfothion - ng/L","Fenthion - ng/L","Fluoranthene - ng/L","Fluorene - ng/L","Heptachlor - ng/L","Heptachlor Epoxide - ng/L","Indeno[1,2,3-cd]pyrene - ng/L","Malathion - ng/L","Merphos - ng/L","Methoxychlor - ng/L","Methyl Parathion - ng/L","Mevinphos (Phosdrin) - ng/L","Mirex - ng/L","Naphthalene - ng/L","Phenanthrene - ng/L","Phorate - ng/L","Pyrene - ng/L","Tetrachlorvinphos (Stirofos) - ng/L","Tokuthion (Prothiofos) - ng/L","Toxaphene - ng/L","trans-Nonachlor - ng/L","Trichloronate - ng/L","Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L","Dissolved Organic Carbon - mg/L","Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L","MBAS - mg/L","Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L","Total Organic Carbon (TOC) - mg/L","Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L","Chloride - mg/L","Nitrate + Nitrite as N - mg/L","Nitrogen, Total Kjeldahl - mg/L","Orthophosphate as P - mg/L","pH","Phosphorus as PO4 - mg/L","SpecificConductivity","Sulfate - mg/L","Temperature","Total Dissolved Solids - mg/L","VSS - mg/L","TSS - mg/L","Turbidity - NTU","Enterococcus - CFU/100 mL","E. coli - CFU/100 mL","Fecal coliforms - CFU/100 mL","Total Coliforms - CFU/100 mL","TN - mg/L","Field Dissolved Oxygen","Field pH","Field Specific Conductivity","Field Temperature","Field Turbidity - NTU","...1","GlobalID_tribarea","area_acres","OBJECTID","IN_FID","NEAR_FID","NEAR_DIST","OBJECTID_outfall","GlobalID","LOCDESC","OBJECTID_hydstra","station","Rain_Gage_Total","Composite Begin","Composite End","Rain_Event_Total"
"1","J01-9046-2",2023-12-19 09:45:00,3209003,"Total","Composite",2023-12-18 22:17:00,2023-12-19 07:17:00,162.9,"<2","2.54","<2","<2","<2","<2","12.4","7.82","<5","7.26","<10","18.2","30.2","<5","67.099999999999994","<5","<5","<5","<5","<5","19.2","<4","5.19","4","<1","64.5","<2","<1","<5","32.700000000000003","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","70.099999999999994","J3.93","<5","<5","6.86","<5","<2","<5","<2","<10","<5","30.7","34.700000000000003","<10","138","<4","<6","<25","4.99","<2",7,"1.5",62.3,22,99,56,230,13000,"18",18.1,"350","1.1000000000000001","8.1000000000000003E-2","25",1.1,"0.24","0.23",72,"600","1.7",52,2.4,9.8,0.62,"H7.64",6.9,640,82,"H19.4","420","99",390,82,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,48,"{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8}",46.36377902,30,30,30,13585.01706,30,"{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040}","J01-Normandale",30,"ELTORO",19.47,2023-12-18,2023-12-19,0.14
"2","J01-9046-2",2023-12-19 09:45:00,3209006,"Dissolved","Composite",2023-12-18 22:17:00,2023-12-19 07:17:00,162.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,"<0.2",NA,1.2,19,NA,NA,240,"0.67",NA,"97",NA,"<0.05","8.4",0.71,"<0.2","<0.2",NA,"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,7.8,367,17,7.94,48,"{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8}",46.36377902,30,30,30,13585.01706,30,"{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040}","J01-Normandale",30,"ELTORO",19.47,2023-12-18,2023-12-19,0.14
"3","L01-728-5 (L01-DP)",2023-12-21 09:00:00,3210001,"Total","Composite",2023-12-20 04:24:00,2023-12-21 03:24:00,12120.3,"<2","<2","<2","<2","<2","<2","<5","J3.6","<5","<5","<10","<5","<5","8.16","17.399999999999999","<5","<5","<5","<5","<5","6.64","<4","<2","<2","<1","<5","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","14.6","<5","<5","<5","<5","<5","<2","<5","<2","<10","<5","8.9700000000000006","11.6","<10","21.4","<4","<6","<25","<2","<2",1.6,"<0.2",NA,3.6,19,14,133,810,"1.4",NA,"30","0.21","<0.05","3.7",0.47,"<0.2","<0.2",15,"64","0.14000000000000001",54,1.8,1.4,0.28,"H7.26",0.94,550,81,"H17.2","440","10",26,17,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,373,"{D0DA33BE-2494-4995-85E6-4F0B73E68804}",24.72372499,18,18,63,4934.294031,18,"{239C7351-6675-4B26-B959-1D8B4D6371A5}","L01-DP",63,"DANAPOINT",17.71,2023-12-20,2023-12-21,1.74
"4","J01-9273-1",2023-12-21 10:00:00,3210002,"Total","Composite",2023-12-20 06:09:00,2023-12-21 02:09:00,148383,"<2","<2","<2","<2","<2","<2","<5","J2.85","<5","<5","<10","<5","<5","<5","<5","<5","<5","<5","<5","<5","6.07","<4","<2","<2","<1","<5","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","8.01","<5","<5","<5","<5","<5","<2","<5","<2","<10","<5","10.199999999999999","10.4","<10","13.9","<4","<6","<25","<2","<2",3.3,"2.8",NA,1.7,10,17,280,460,"0.99",NA,"340","0.31","<0.05","17",0.98,"<0.2","<0.2",18,"65","0.13",110,2.5,0.97,0.4,"H7.49",1.4,1100,210,"H16.8","660","7.4",15,18,NA,NA,NA,NA,3.47,NA,NA,NA,NA,NA,64,"{3BBBEF3F-4D6B-4BDD-A1B2-4A311F3CB981}",30.68945533,345,345,30,11274.56096,345,"{1B614B52-1204-4A36-9937-3895C916CE39}","J01ASVM; Aliso Creek Park and Wildlife Sanctuary in Laguna Woods",30,"ELTORO",19.47,2023-12-20,2023-12-21,1.78
"5","L01-728-5 (L01-DP)",2023-12-21 09:00:00,3210004,"Dissolved","Composite",2023-12-20 04:24:00,2023-12-21 03:24:00,12120.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"<0.2",NA,2.4,13,NA,NA,49,"0.31",NA,"4.9000000000000004",NA,"<0.05","2.8",0.44,"<0.2","<0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,"{D0DA33BE-2494-4995-85E6-4F0B73E68804}",24.72372499,18,18,63,4934.294031,18,"{239C7351-6675-4B26-B959-1D8B4D6371A5}","L01-DP",63,"DANAPOINT",17.71,2023-12-20,2023-12-21,1.74
"6","J01-9273-1",2023-12-21 10:00:00,3210005,"Dissolved","Composite",2023-12-20 06:09:00,2023-12-21 02:09:00,148383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,"2",NA,1.1,8.5,NA,NA,95,"0.34",NA,"330",NA,"9.5000000000000001E-2","16",0.97,"<0.2","<0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"{3BBBEF3F-4D6B-4BDD-A1B2-4A311F3CB981}",30.68945533,345,345,30,11274.56096,345,"{1B614B52-1204-4A36-9937-3895C916CE39}","J01ASVM; Aliso Creek Park and Wildlife Sanctuary in Laguna Woods",30,"ELTORO",19.47,2023-12-20,2023-12-21,1.78
"7","L01-728-5 (L01-DP)",2023-12-20 11:19:00,3211001,"Total","Grab",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","6700","8600",">=36000",NA,NA,NA,NA,NA,NA,373,"{D0DA33BE-2494-4995-85E6-4F0B73E68804}",24.72372499,18,18,63,4934.294031,18,"{239C7351-6675-4B26-B959-1D8B4D6371A5}","L01-DP",63,"DANAPOINT",17.71,NA,NA,NA
"8","J01-9273-1",2023-12-20 10:16:00,3211002,"Total","Grab",NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5700","200","300",">=24000",NA,NA,NA,NA,NA,NA,64,"{3BBBEF3F-4D6B-4BDD-A1B2-4A311F3CB981}",30.68945533,345,345,30,11274.56096,345,"{1B614B52-1204-4A36-9937-3895C916CE39}","J01ASVM; Aliso Creek Park and Wildlife Sanctuary in Laguna Woods",30,"ELTORO",19.47,NA,NA,NA
"9","J01-9046-2",2023-12-20 09:17:00,3211003,"Total","Grab",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43000","20000","31000",">=81000",NA,NA,NA,NA,NA,NA,48,"{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8}",46.36377902,30,30,30,13585.01706,30,"{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040}","J01-Normandale",30,"ELTORO",19.47,NA,NA,NA
"10","M01-088-1",2024-01-21 09:45:00,3246002,"Total","Composite",2024-01-20 10:02:00,2024-01-21 09:02:00,307140,"<2","<2","<2","<2","<2","<2","<5","J1.11","<5","J1.03","<10","<5","<5","J3.62","5","J2.36","<5","<5","<5","<5","J3.38","<4","<2","<2","<1","J3.96","<2","<1","J1.33","J4.79","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","J3.19","J3.24","<5","<5","J1.14","17.3","<2","<5","<2","<10","<5","357","5.04","<10","6.56","<4","<6","<25","<2","<2",1.7,"3.7",88.9,3.4,12,11,485,1400,"0.75",63.8,"440","0.1","<0.05","43",2.5,"<0.2","<0.2",12,"50","0.17",130,3.5,1.9,0.2,"H7.57",0.8,1780,490,"H17","980","8.1",32,17,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,266,"{624367CE-BA55-4FAB-8769-2C2A4A455746}",304.03967077,2330,2330,24,4956.209195,2330,"{8624483B-B427-44C6-9F2A-827B2137D948}","SC-Fortuna; (Ave Fortuna and Portico del Sur in San Clemente)",24,"PALISADES",19.47,2024-01-20,2024-01-21,2.06
"11","M01-088-1",2024-01-21 09:45:00,3246003,"Dissolved","Composite",2024-01-20 10:02:00,2024-01-21 09:02:00,307140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"2.9",NA,1.1,8.4,NA,NA,63,"<0.2",NA,"400",NA,"<0.05","38",2.3,"<0.2","<0.2",NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,"{624367CE-BA55-4FAB-8769-2C2A4A455746}",304.03967077,2330,2330,24,4956.209195,2330,"{8624483B-B427-44C6-9F2A-827B2137D948}","SC-Fortuna; (Ave Fortuna and Portico del Sur in San Clemente)",24,"PALISADES",19.47,2024-01-20,2024-01-21,2.06
"12","I01-11021-1",2024-01-23 11:40:00,3246005,"Total","Composite",2024-01-21 22:00:00,2024-01-22 21:00:00,9078.6,"<2","<2","<2","<2","<2","<2","<5","<5","<5","J2.39","<10","J3.42","<5","8.9700000000000006","19.399999999999999","12.1","<5","<5","<5","<5","J3.34","<4","<2","<2","<1","12.2","<2","<1","<5","<5","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","13.8","13.5","<5","<5","<5","40.200000000000003","<2","<5","<2","<10","<5","10.9","12.5","<10","17.600000000000001","<4","<6","147","2.93","<2",1.4,"<0.2",34.4,2.2,33,7.1,147,640,"1.5",14.8,"15","0.12","<0.05","2.4",1.1,"<0.2","<0.2",8.1,"50","<0.1",120,0.76,1.3,0.19,"H7.18",0.76,670,63,"H18.9","350","<5",14,11,NA,NA,NA,NA,2.06,NA,NA,NA,NA,NA,13,"{771F9AE1-01EC-4A47-84FC-2F216663852D}",15.02431768,2338,2338,42,1495.290188,2338,"{613D317B-0A31-4B49-B4A0-85440B25AA42}","VICTRA u/s P",42,"LAGUNABEACH",16.53,2024-01-21,2024-01-22,3.38
"13","I01-11021-1",2024-01-23 11:40:00,3246006,"Dissolved","Composite",2024-01-21 22:00:00,2024-01-22 21:00:00,9078.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"<0.2",NA,0.82,26,NA,NA,22,"<0.2",NA,"<1",NA,"<0.05","<2",1,"<0.2","<0.2",NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"{771F9AE1-01EC-4A47-84FC-2F216663852D}",15.02431768,2338,2338,42,1495.290188,2338,"{613D317B-0A31-4B49-B4A0-85440B25AA42}","VICTRA u/s P",42,"LAGUNABEACH",16.53,2024-01-21,2024-01-22,3.38
"14","I01-11021-1",2024-01-22 08:00:00,3251001,"Total","Grab",NA,NA,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=13000","4100",">=6400",">=46000",NA,NA,NA,NA,NA,NA,13,"{771F9AE1-01EC-4A47-84FC-2F216663852D}",15.02431768,2338,2338,42,1495.290188,2338,"{613D317B-0A31-4B49-B4A0-85440B25AA42}","VICTRA u/s P",42,"LAGUNABEACH",16.53,NA,NA,NA
"15","M01-088-1",2024-01-21 09:45:00,3251002,"Total","Grab",NA,NA,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=4000","6800",">=13000",">=40000",NA,NA,NA,NA,NA,NA,266,"{624367CE-BA55-4FAB-8769-2C2A4A455746}",304.03967077,2330,2330,24,4956.209195,2330,"{8624483B-B427-44C6-9F2A-827B2137D948}","SC-Fortuna; (Ave Fortuna and Portico del Sur in San Clemente)",24,"PALISADES",19.47,NA,NA,NA
"16","K01-12156-4",2024-01-21 10:23:00,3251003,"Total","Grab",NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">=9000","2800",">=5100",">=59000",NA,NA,NA,NA,NA,NA,326,"{69600548-71B3-42DD-82C0-FEECBD33EB65}",1412.69395318,215,215,29,16023.70933,215,"{309906B0-76A0-4415-BAED-B4E04CEE89DD}","SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls",29,"SULPHURCREEK",20.56,NA,NA,NA
"17","L02-166-2 (L02P25)",2024-01-21 11:34:00,3251004,"Total","Grab",NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4200",">=1500",">=1300",">=28000",NA,NA,NA,NA,NA,NA,342,"{3A11CF81-5CBC-49DA-954D-B3E5E34A8451}",363.95293383,6,6,65,9672.861319,6,"{FF3574C5-E460-4A7F-94BD-7DEF35298977}","L02P25",65,"TRABUCO",22.96,NA,NA,NA
